TEAM	MATCH_UP	GAME_DATE	W/L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO	ASTRAT	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE
DAL	DAL @ UTA	12/25/2021	L	48	111.5	115.4	-3.8	50.0	1.36	14.0	26.9	67.9	48.1	13.5	48.3	55.6	104.00	44.5
UTA	UTA vs. DAL	12/25/2021	W	48	115.4	111.5	3.8	60.0	1.71	16.4	32.1	73.1	51.9	13.5	51.1	56.5	104.00	55.5
BOS	BOS @ MIL	12/25/2021	L	48	114.1	117.0	-2.9	63.2	1.71	17.5	28.8	67.3	48.1	14.1	52.2	56.7	99.50	48.5
NYK	NYK vs. ATL	12/25/2021	W	48	107.4	94.6	12.9	73.7	2.80	21.1	21.6	78.2	50.9	10.6	56.5	55.9	93.00	57.6
PHX	PHX vs. GSW	12/25/2021	L	48	113.8	123.4	-9.6	50.0	1.54	16.1	25.6	68.9	47.7	13.8	54.8	59.4	94.00	44.5
LAL	LAL vs. BKN	12/25/2021	L	48	112.7	119.6	-6.9	72.5	2.07	19.0	37.9	77.6	56.1	13.7	46.9	53.1	102.00	46.7
MIL	MIL vs. BOS	12/25/2021	W	48	117.0	114.1	2.9	55.8	1.85	17.1	32.7	71.2	51.9	13.0	53.8	56.9	99.50	51.5
BKN	BKN @ LAL	12/25/2021	W	48	119.6	112.7	6.9	72.1	2.58	21.5	22.4	62.1	43.9	11.8	56.2	60.5	102.00	53.3
MIN	MIN @ UTA	12/23/2021	L	48	116.0	125.5	-9.5	64.4	2.07	19.6	33.9	64.4	47.5	14.0	53.0	54.6	101.00	43.2
DAL	DAL vs. MIL	12/23/2021	L	48	99.0	106.3	-7.3	71.4	2.27	19.1	18.5	81.3	48.0	11.5	47.7	50.8	96.00	43.1
PHX	PHX vs. OKC	12/23/2021	W	48	111.9	100.0	11.9	57.8	1.86	18.7	24.5	70.5	50.0	13.9	56.5	57.2	101.00	58.4
OKC	OKC @ PHX	12/23/2021	L	48	100.0	111.9	-11.9	45.9	1.31	12.6	29.5	75.5	50.0	12.9	44.3	48.0	101.00	41.6
IND	IND vs. HOU	12/23/2021	W	48	128.3	115.2	13.0	58.7	1.80	19.4	47.7	70.8	59.8	16.3	59.7	61.2	92.00	58.4
MIL	MIL @ DAL	12/23/2021	W	48	106.3	99.0	7.3	70.3	2.17	20.0	18.8	81.5	52.0	12.5	51.2	55.6	96.00	56.9
GSW	GSW vs. MEM	12/23/2021	W	48	116.5	108.3	8.2	75.0	1.58	21.4	31.8	66.7	51.0	19.6	60.4	62.8	96.50	57.0
NYK	NYK vs. WAS	12/23/2021	L	48	121.9	130.5	-8.7	40.5	2.43	13.2	30.8	84.6	53.8	7.3	52.2	56.7	95.50	42.0
PHI	PHI vs. ATL	12/23/2021	L	48	105.5	107.7	-2.2	60.6	2.50	16.4	22.9	65.2	43.6	8.8	45.0	52.5	91.00	52.3
DET	DET @ MIA	12/23/2021	L	48	112.0	113.9	-1.9	63.9	1.44	17.7	15.2	80.9	48.4	16.0	56.3	61.5	100.50	50.4
ORL	ORL vs. NOP	12/23/2021	L	48	109.5	114.6	-5.1	50.0	2.11	15.0	25.5	72.5	49.0	9.5	48.3	53.5	95.50	46.1
UTA	UTA vs. MIN	12/23/2021	W	48	125.5	116.0	9.5	64.6	2.07	20.8	35.6	66.1	52.5	14.7	62.2	64.2	101.00	56.8
CHA	CHA @ DEN	12/23/2021	W	48	112.7	104.9	7.8	71.8	2.55	19.4	24.1	67.2	45.7	10.8	50.0	55.0	102.00	55.2
HOU	HOU @ IND	12/23/2021	L	48	115.2	128.3	-13.0	45.7	1.23	13.1	29.2	52.3	40.2	14.1	53.1	58.0	92.00	41.6
LAL	LAL vs. SAS	12/23/2021	L	48	104.8	131.4	-26.7	47.7	1.50	14.6	31.0	76.5	52.3	13.3	49.5	51.3	105.00	36.4
WAS	WAS @ NYK	12/23/2021	W	48	130.5	121.9	8.7	71.4	2.73	22.9	15.4	69.2	46.2	11.6	66.7	69.6	95.50	58.0
SAS	SAS @ LAL	12/23/2021	W	48	131.4	104.8	26.7	71.7	5.50	22.0	23.5	69.0	47.7	5.7	57.9	63.0	105.00	63.6
DEN	DEN vs. CHA	12/23/2021	L	48	104.9	112.7	-7.8	57.5	1.53	16.0	32.8	75.9	54.3	14.7	49.0	51.7	102.00	44.8
MEM	MEM @ GSW	12/23/2021	L	48	108.3	116.5	-8.2	47.4	1.38	13.6	33.3	68.2	49.0	13.5	46.7	51.7	96.50	43.0
MIA	MIA vs. DET	12/23/2021	W	48	113.9	112.0	1.9	53.5	1.77	17.3	19.1	84.8	51.6	12.9	55.7	59.7	100.50	49.6
NOP	NOP @ ORL	12/23/2021	W	48	114.6	109.5	5.1	56.8	2.10	16.2	27.5	74.5	51.0	10.4	50.6	56.4	95.50	53.9
ATL	ATL @ PHI	12/23/2021	W	48	107.7	105.5	2.2	54.1	1.25	15.7	34.8	77.1	56.4	17.6	49.4	54.2	91.00	47.7
SAC	SAC vs. LAC	12/22/2021	L	48	92.7	109.4	-16.7	70.6	1.26	18.0	24.5	80.5	48.9	19.8	47.1	49.3	96.00	38.7
ATL	ATL vs. ORL	12/22/2021	L	48	103.2	110.6	-7.5	65.6	1.50	16.0	30.0	77.6	53.5	14.7	47.5	52.8	94.50	46.6
HOU	HOU @ MIL	12/22/2021	L	48	105.0	124.8	-19.8	63.9	1.53	16.4	30.4	67.8	49.6	14.9	49.4	53.2	101.00	42.7
BOS	BOS vs. CLE	12/22/2021	W	48	111.0	100.0	11.0	55.8	1.85	17.5	26.9	66.7	47.7	13.0	52.7	55.5	100.50	55.3
ORL	ORL @ ATL	12/22/2021	W	48	110.6	103.2	7.5	71.1	2.70	20.5	22.4	70.0	46.5	10.6	51.2	54.7	94.50	53.4
MIL	MIL vs. HOU	12/22/2021	W	48	124.8	105.0	19.8	55.6	3.57	17.4	32.2	69.6	50.4	6.9	51.9	56.1	101.00	57.3
OKC	OKC vs. DEN	12/22/2021	W	48	108.0	94.9	13.1	52.4	2.00	15.9	30.2	85.7	58.7	11.0	48.9	52.8	99.50	58.8
DEN	DEN @ OKC	12/22/2021	L	48	94.9	108.0	-13.1	63.6	1.91	16.4	14.3	69.8	41.3	11.1	47.0	49.2	99.50	41.2
LAC	LAC @ SAC	12/22/2021	W	48	109.4	92.7	16.7	61.9	2.00	20.2	19.5	75.5	51.1	13.5	55.5	59.0	96.00	61.3
CLE	CLE @ BOS	12/22/2021	L	48	100.0	111.0	-11.0	47.2	1.06	12.5	33.3	73.1	52.3	15.8	44.0	49.2	100.50	44.7
DET	DET @ NYK	12/21/2021	L	48	91.9	107.1	-15.2	64.7	1.57	15.7	32.3	71.7	50.4	14.1	40.4	44.5	98.50	43.0
POR	POR @ NOP	12/21/2021	L	48	104.3	122.0	-17.7	51.4	1.64	15.0	19.1	69.2	41.9	11.8	53.2	56.2	92.00	42.6
NYK	NYK vs. DET	12/21/2021	W	48	107.1	91.9	15.2	55.0	1.69	16.3	28.3	67.7	49.6	13.3	50.6	53.4	98.50	57.0
DAL	DAL vs. MIN	12/21/2021	W	48	120.0	108.5	11.5	71.4	2.73	21.4	31.9	80.0	55.4	11.6	55.2	59.3	94.50	57.7
PHX	PHX @ LAL	12/21/2021	W	48	102.9	85.7	17.1	70.7	1.81	20.1	18.9	83.9	52.3	15.2	50.5	54.2	105.00	63.5
MIA	MIA vs. IND	12/21/2021	W	48	130.2	101.1	29.2	63.8	2.73	20.8	36.0	69.6	53.8	11.5	61.1	62.6	95.50	62.4
IND	IND @ MIA	12/21/2021	L	48	101.1	130.2	-29.2	71.0	1.83	16.4	30.4	64.0	46.2	12.6	42.0	48.3	95.50	37.6
LAL	LAL vs. PHX	12/21/2021	L	48	85.7	102.9	-17.1	41.2	0.93	10.9	16.1	81.1	47.7	14.3	43.1	46.3	105.00	36.5
NOP	NOP vs. POR	12/21/2021	W	48	122.0	104.3	17.7	64.3	1.69	20.8	30.8	80.9	58.1	17.6	60.0	63.1	92.00	57.4
MIN	MIN @ DAL	12/21/2021	L	48	108.5	120.0	-11.5	72.2	1.53	20.2	20.0	68.1	44.6	18.1	53.8	58.1	94.50	42.3
PHI	PHI @ BOS	12/20/2021	W	48	109.1	102.0	7.1	55.6	1.18	16.3	11.1	69.6	43.9	17.2	56.9	63.1	100.00	55.1
SAS	SAS @ LAC	12/20/2021	W	48	113.7	91.1	22.6	74.0	3.08	22.0	44.6	80.0	60.8	11.8	49.1	49.7	101.50	64.2
LAC	LAC vs. SAS	12/20/2021	L	48	91.1	113.7	-22.6	52.9	1.20	13.8	20.0	55.4	39.2	14.9	44.3	48.0	101.50	35.8
BOS	BOS vs. PHI	12/20/2021	L	48	102.0	109.1	-7.1	42.1	0.89	12.2	30.4	88.9	56.1	17.8	50.6	55.4	100.00	44.9
HOU	HOU @ CHI	12/20/2021	L	48	125.5	141.5	-16.0	61.4	1.93	20.6	27.0	66.7	48.1	14.9	64.1	66.6	94.00	45.8
UTA	UTA vs. CHA	12/20/2021	W	48	105.7	96.2	9.4	61.8	1.24	13.8	36.8	77.4	56.2	16.0	43.8	49.9	106.00	53.2
SAC	SAC @ GSW	12/20/2021	L	48	100.0	115.3	-15.3	62.2	1.10	16.9	30.6	74.4	51.1	21.4	52.4	54.4	98.00	42.5
CHA	CHA @ UTA	12/20/2021	L	48	96.2	105.7	-9.4	69.2	2.08	18.4	22.6	63.2	43.8	12.3	46.0	48.6	106.00	46.8
CHI	CHI vs. HOU	12/20/2021	W	48	141.5	125.5	16.0	70.2	4.13	23.6	33.3	73.0	51.9	8.5	62.5	67.5	94.00	54.2
MEM	MEM vs. OKC	12/20/2021	L	48	99.0	102.0	-3.0	61.5	2.00	16.7	32.8	73.1	50.9	12.0	44.1	46.4	100.00	46.0
GSW	GSW vs. SAC	12/20/2021	W	48	115.3	100.0	15.3	60.9	1.75	20.4	25.6	69.4	48.9	16.3	60.8	61.4	98.00	57.5
OKC	OKC @ MEM	12/20/2021	W	48	102.0	99.0	3.0	66.7	1.71	17.4	26.9	67.2	49.1	14.0	49.4	52.9	100.00	54.0
MEM	MEM vs. POR	12/19/2021	L	48	104.2	111.7	-7.5	62.9	2.75	16.4	28.8	62.5	42.4	8.3	43.4	49.0	95.00	45.3
SAC	SAC vs. SAS	12/19/2021	W	48	124.7	117.5	7.2	50.0	1.92	17.2	32.6	65.2	48.9	12.4	58.2	61.2	97.00	49.7
CHI	CHI vs. LAL	12/19/2021	W	48	113.9	108.9	5.0	50.0	2.00	14.6	29.3	71.4	47.0	9.9	48.4	53.9	101.00	50.5
DET	DET vs. MIA	12/19/2021	W	48	105.3	94.7	10.5	68.6	1.60	18.8	20.5	82.4	53.7	15.8	52.0	56.7	95.00	59.6
POR	POR @ MEM	12/19/2021	W	48	111.7	104.2	7.5	48.6	0.68	13.5	37.5	71.2	57.6	26.6	54.7	60.8	95.00	54.7
SAS	SAS @ SAC	12/19/2021	L	48	117.5	124.7	-7.2	53.3	1.71	17.5	34.8	67.4	51.1	14.4	56.0	58.9	97.00	50.3
MIA	MIA @ DET	12/19/2021	L	48	94.7	105.3	-10.5	82.1	1.77	18.3	17.6	79.5	46.3	13.7	46.6	50.8	95.00	40.4
CHA	CHA @ PHX	12/19/2021	L	48	98.1	128.0	-29.9	72.2	2.89	17.2	26.9	71.4	44.0	8.3	41.0	47.2	107.50	38.8
MIN	MIN vs. DAL	12/19/2021	W	48	118.1	114.1	4.0	72.2	2.89	20.3	19.6	76.6	48.4	9.6	56.5	61.2	93.00	52.1
LAL	LAL @ CHI	12/19/2021	L	48	108.9	113.9	-5.0	59.5	1.25	18.1	28.6	70.7	53.0	19.8	58.5	60.0	101.00	49.5
PHX	PHX vs. CHA	12/19/2021	W	48	128.0	98.1	29.9	64.8	1.94	22.7	28.6	73.1	56.0	16.8	67.4	68.0	107.50	61.2
DAL	DAL @ MIN	12/19/2021	L	48	114.1	118.1	-4.0	75.0	2.25	20.8	23.4	80.4	51.6	13.0	51.2	57.3	93.00	47.9
CLE	CLE @ MIL	12/18/2021	W	48	121.4	91.8	29.6	80.0	2.40	24.3	30.4	72.7	53.5	15.3	58.9	61.9	98.00	67.0
GSW	GSW @ TOR	12/18/2021	L	48	104.2	125.3	-21.1	70.3	1.30	18.8	34.0	70.6	53.1	20.8	53.8	56.7	95.50	44.0
UTA	UTA vs. WAS	12/18/2021	L	48	102.0	109.0	-7.0	48.6	1.06	13.4	22.0	77.8	51.0	15.8	51.9	54.7	100.50	42.9
BKN	BKN vs. ORL	12/18/2021	L	48	92.1	98.0	-6.0	61.5	1.50	16.4	34.9	67.3	50.0	15.8	42.6	44.1	101.50	47.2
HOU	HOU @ DET	12/18/2021	W	48	110.5	102.9	7.6	58.7	1.42	18.2	34.0	66.0	51.0	18.1	57.0	57.7	104.50	57.4
DET	DET vs. HOU	12/18/2021	L	48	102.9	110.5	-7.6	67.4	1.38	19.2	34.0	66.0	49.0	20.2	51.6	53.5	104.50	42.6
LAC	LAC @ OKC	12/18/2021	L	48	107.3	108.3	-1.0	70.3	2.00	19.7	20.4	64.7	43.0	13.5	54.2	56.4	96.00	50.9
OKC	OKC vs. LAC	12/18/2021	W	48	108.3	107.3	1.0	53.5	1.44	16.8	35.3	79.6	57.0	16.7	53.3	53.9	96.00	49.1
BOS	BOS vs. NYK	12/18/2021	W	48	117.5	109.2	8.3	54.8	1.77	17.3	27.1	78.7	52.6	13.4	56.7	59.1	97.50	53.1
TOR	TOR vs. GSW	12/18/2021	W	48	125.3	104.2	21.1	57.8	2.36	19.1	29.4	66.0	46.9	11.6	57.8	59.4	95.50	56.0
WAS	WAS @ UTA	12/18/2021	W	48	109.0	102.0	7.0	64.3	3.00	19.4	22.2	78.0	49.0	9.0	49.5	53.0	100.50	57.1
ORL	ORL @ BKN	12/18/2021	W	48	98.0	92.1	6.0	51.3	1.25	14.5	32.7	65.1	50.0	15.7	46.8	50.1	101.50	52.8
NYK	NYK @ BOS	12/18/2021	L	48	109.2	117.5	-8.3	51.4	1.29	14.3	21.3	72.9	47.4	14.3	51.9	57.4	97.50	46.9
MIL	MIL vs. CLE	12/18/2021	L	48	91.8	121.4	-29.6	51.4	1.06	13.7	27.3	69.6	46.5	17.3	46.1	48.0	98.00	33.0
MIL	MIL @ NOP	12/17/2021	L	53	104.7	106.4	-1.7	35.6	1.23	11.7	23.3	69.2	44.6	12.1	50.0	51.7	97.81	42.0
MIN	MIN vs. LAL	12/17/2021	W	48	102.8	86.0	16.8	56.1	1.53	15.5	29.5	92.5	58.8	14.0	48.0	50.7	107.00	59.6
ATL	ATL vs. DEN	12/17/2021	L	48	108.5	124.3	-15.8	53.7	1.47	15.5	28.0	81.1	50.6	14.2	50.6	55.8	106.50	39.1
POR	POR vs. CHA	12/17/2021	W	48	125.0	117.2	7.8	61.4	1.59	19.3	33.3	70.0	53.3	17.0	64.1	67.3	99.50	53.2
MEM	MEM @ SAC	12/17/2021	W	48	118.1	99.1	19.0	55.6	1.92	17.0	32.7	72.7	52.7	12.4	53.1	56.9	105.50	59.3
DEN	DEN @ ATL	12/17/2021	W	48	124.3	108.5	15.8	70.0	2.06	23.5	18.9	72.0	49.4	15.9	68.0	70.8	106.50	60.9
NOP	NOP vs. MIL	12/17/2021	W	53	106.4	104.7	1.7	81.0	1.70	21.5	30.8	76.7	55.4	18.3	54.5	56.8	97.81	58.0
GSW	GSW @ BOS	12/17/2021	W	48	115.6	109.2	6.4	69.2	1.93	19.3	32.1	67.3	49.5	14.6	52.2	55.9	97.00	53.8
MIA	MIA @ ORL	12/17/2021	W	48	125.0	111.7	13.3	61.0	1.47	18.9	34.1	71.7	53.3	18.5	61.6	63.6	93.00	53.8
UTA	UTA vs. SAS	12/17/2021	L	48	121.2	123.1	-1.9	56.5	2.00	17.8	32.7	75.0	54.5	12.5	56.5	60.3	104.00	49.6
CHA	CHA @ POR	12/17/2021	L	48	117.2	125.0	-7.8	65.9	2.23	20.4	30.0	66.7	46.7	13.1	54.9	58.0	99.50	46.8
SAC	SAC vs. MEM	12/17/2021	L	48	99.1	118.1	-19.0	58.3	1.17	15.0	27.3	67.3	47.3	17.0	48.3	52.8	105.50	40.7
ORL	ORL vs. MIA	12/17/2021	L	48	111.7	125.0	-13.3	53.5	2.09	17.7	28.3	65.9	46.7	11.7	54.5	56.2	93.00	46.2
BOS	BOS vs. GSW	12/17/2021	L	48	109.2	115.6	-6.4	55.6	1.25	14.9	32.7	67.9	50.5	16.3	53.0	56.5	97.00	46.2
LAL	LAL @ MIN	12/17/2021	L	48	86.0	102.8	-16.8	86.7	1.44	19.0	7.5	70.5	41.2	16.8	46.2	50.7	107.00	40.4
SAS	SAS @ UTA	12/17/2021	W	48	123.1	121.2	1.9	54.0	3.86	18.9	25.0	67.3	45.5	6.7	57.5	59.3	104.00	50.4
DET	DET @ IND	12/16/2021	L	48	113.0	120.8	-7.8	50.0	1.67	15.7	16.3	72.3	45.6	12.0	53.7	60.0	100.50	45.1
IND	IND vs. DET	12/16/2021	W	48	120.8	113.0	7.8	57.8	2.89	18.8	27.7	83.7	54.4	8.9	53.3	59.0	100.50	54.9
WAS	WAS @ PHX	12/16/2021	L	48	97.0	118.0	-21.0	55.0	1.38	16.9	15.6	73.7	42.2	15.8	52.4	54.2	100.50	39.7
PHX	PHX vs. WAS	12/16/2021	W	48	118.0	97.0	21.0	59.5	1.25	18.5	26.3	84.4	57.8	20.0	58.9	65.2	100.50	60.3
HOU	HOU vs. NYK	12/16/2021	L	48	114.4	128.9	-14.4	85.3	1.53	22.5	30.6	60.9	47.6	21.1	58.1	63.4	90.00	45.0
PHI	PHI @ BKN	12/16/2021	L	48	105.0	116.3	-11.3	48.7	2.11	15.1	17.6	76.1	45.4	9.0	49.4	53.7	99.00	44.9
BKN	BKN vs. PHI	12/16/2021	W	48	116.3	105.0	11.3	47.7	1.40	16.2	23.9	82.4	54.6	15.3	55.6	59.4	99.00	55.1
NYK	NYK @ HOU	12/16/2021	W	48	128.9	114.4	14.4	64.1	2.08	18.8	39.1	69.4	52.4	13.3	57.2	61.7	90.00	55.0
NOP	NOP @ OKC	12/15/2021	W	48	114.1	112.2	1.9	59.0	1.92	17.4	23.9	77.8	53.0	12.1	55.6	59.0	98.50	52.7
SAS	SAS vs. CHA	12/15/2021	L	48	117.3	133.7	-16.3	69.2	3.38	19.7	23.5	73.0	44.3	8.2	50.0	56.9	98.00	42.8
LAL	LAL @ DAL	12/15/2021	W	53	102.9	97.2	5.7	61.5	1.71	17.8	13.0	75.4	46.1	13.5	51.7	54.6	95.55	52.9
LAC	LAC @ UTA	12/15/2021	L	48	103.0	122.8	-19.8	60.0	1.50	17.9	21.3	80.0	50.0	16.0	52.9	54.9	100.50	39.5
POR	POR vs. MEM	12/15/2021	L	48	102.0	111.9	-9.9	58.1	1.20	14.1	17.3	72.9	44.0	14.9	47.0	54.6	101.00	42.2
SAC	SAC vs. WAS	12/15/2021	W	48	121.4	105.0	16.4	55.6	2.27	19.2	17.1	75.0	48.3	11.2	59.8	62.8	99.00	57.1
CHA	CHA @ SAS	12/15/2021	W	48	133.7	117.3	16.3	66.7	2.62	24.1	27.0	76.5	55.7	13.3	69.8	70.4	98.00	57.2
HOU	HOU @ CLE	12/15/2021	L	48	92.7	127.8	-35.1	66.7	1.18	15.2	29.6	78.0	50.5	17.7	41.7	47.6	96.50	35.2
OKC	OKC vs. NOP	12/15/2021	L	48	112.2	114.1	-1.9	56.4	2.75	16.8	22.2	76.1	47.0	8.2	48.9	54.3	98.50	47.3
UTA	UTA vs. LAC	12/15/2021	W	48	122.8	103.0	19.8	55.3	2.60	19.1	20.0	78.7	50.0	9.9	61.2	63.4	100.50	60.5
MIN	MIN @ DEN	12/15/2021	W	48	124.0	107.0	17.0	53.3	2.00	18.0	20.0	70.8	46.2	12.0	64.2	65.2	100.00	53.4
MIL	MIL vs. IND	12/15/2021	W	48	120.0	102.1	17.9	56.8	2.78	19.1	22.9	68.9	45.2	9.5	56.7	59.0	96.00	55.6
DAL	DAL vs. LAL	12/15/2021	L	53	97.2	102.9	-5.7	56.4	2.00	15.4	24.6	87.0	53.9	10.3	45.9	49.3	95.55	47.1
WAS	WAS @ SAC	12/15/2021	L	48	105.0	121.4	-16.4	47.6	1.82	15.3	25.0	82.9	51.7	11.0	50.0	53.4	99.00	42.9
PHI	PHI vs. MIA	12/15/2021	L	48	105.5	111.0	-5.5	74.3	2.36	21.1	15.2	68.9	41.8	12.1	51.9	55.5	91.00	50.1
CLE	CLE vs. HOU	12/15/2021	W	48	127.8	92.7	35.1	57.8	1.53	19.7	22.0	70.4	49.5	17.5	67.5	68.5	96.50	64.8
ORL	ORL vs. ATL	12/15/2021	L	48	100.0	111.0	-11.0	71.4	1.47	17.6	31.6	83.7	54.0	17.2	44.4	49.9	99.50	40.5
DEN	DEN vs. MIN	12/15/2021	L	48	107.0	124.0	-17.0	86.8	1.83	22.4	29.2	80.0	53.8	18.0	53.6	56.8	100.00	46.6
IND	IND @ MIL	12/15/2021	L	48	102.1	120.0	-17.9	61.5	1.26	18.0	31.1	77.1	54.8	19.6	53.6	56.4	96.00	44.4
MIA	MIA @ PHI	12/15/2021	W	48	111.0	105.5	5.5	71.4	1.39	19.5	31.1	84.8	58.2	19.8	56.4	59.1	91.00	49.9
MEM	MEM @ POR	12/15/2021	W	48	111.9	102.0	9.9	56.4	1.38	16.3	27.1	82.7	56.0	15.8	54.3	59.3	101.00	57.8
ATL	ATL @ ORL	12/15/2021	W	48	111.0	100.0	11.0	59.5	1.92	18.9	16.3	68.4	46.0	13.0	55.9	60.3	99.50	59.5
POR	POR vs. PHX	12/14/2021	L	53	101.9	105.7	-3.8	57.5	1.64	16.2	25.4	75.5	48.1	13.3	48.4	50.6	95.09	45.1
GSW	GSW @ NYK	12/14/2021	W	48	114.1	104.3	9.8	80.0	2.33	21.4	24.4	80.0	55.0	13.0	55.2	59.1	92.00	58.8
TOR	TOR @ BKN	12/14/2021	L	53	117.3	121.3	-4.0	54.2	2.17	17.0	30.0	57.1	43.1	10.9	54.3	56.9	98.72	46.1
NYK	NYK vs. GSW	12/14/2021	L	48	104.3	114.1	-9.8	60.0	2.00	14.9	20.0	75.6	45.0	9.8	45.8	51.8	92.00	41.2
BKN	BKN vs. TOR	12/14/2021	W	53	121.3	117.3	4.0	56.0	1.56	17.5	42.9	70.0	56.9	16.7	55.3	57.9	98.72	53.9
PHX	PHX @ POR	12/14/2021	W	53	105.7	101.9	3.8	68.2	2.14	20.5	24.5	74.6	51.9	13.3	53.2	55.7	95.09	54.9
ATL	ATL vs. HOU	12/13/2021	L	48	122.3	125.7	-3.4	47.6	1.67	15.2	20.5	67.3	45.8	11.7	58.2	63.9	104.00	48.1
DAL	DAL vs. CHA	12/13/2021	W	48	141.2	112.9	28.2	65.1	2.15	21.2	47.5	61.7	56.0	15.3	63.3	66.3	85.00	65.1
SAC	SAC @ TOR	12/13/2021	L	48	100.0	124.0	-24.0	55.3	1.24	14.7	34.4	72.9	51.4	16.8	46.3	48.9	100.50	36.9
PHX	PHX @ LAC	12/13/2021	L	48	97.9	114.4	-16.5	61.1	2.00	15.7	34.4	73.7	49.5	11.3	41.1	45.5	97.00	38.5
WAS	WAS @ DEN	12/13/2021	L	48	107.0	111.9	-4.9	61.0	2.50	18.8	15.1	84.1	46.4	10.0	52.2	53.9	100.50	42.5
DEN	DEN vs. WAS	12/13/2021	W	48	111.9	107.0	4.9	70.3	2.00	19.4	15.9	84.9	53.6	12.9	53.2	60.4	100.50	57.5
MIL	MIL @ BOS	12/13/2021	L	48	105.1	120.6	-15.5	55.0	1.57	16.4	26.9	79.5	51.0	14.3	50.6	53.3	97.50	43.7
LAC	LAC vs. PHX	12/13/2021	W	48	114.4	97.9	16.5	55.8	1.41	18.3	26.3	65.6	50.5	17.5	60.9	63.0	97.00	61.5
MIA	MIA @ CLE	12/13/2021	L	48	102.2	111.7	-9.5	68.4	1.63	19.8	26.5	73.3	48.9	17.4	52.4	52.8	93.00	44.3
PHI	PHI @ MEM	12/13/2021	L	48	91.0	127.3	-36.3	59.5	1.47	16.9	17.6	73.9	44.3	15.0	47.0	49.8	99.50	34.7
CHA	CHA @ DAL	12/13/2021	L	48	112.9	141.2	-28.2	64.7	2.20	17.1	38.3	52.5	44.0	11.8	47.1	49.7	85.00	34.9
CLE	CLE vs. MIA	12/13/2021	W	48	111.7	102.2	9.5	66.7	1.71	18.6	26.7	73.5	51.1	14.9	54.3	59.0	93.00	55.7
IND	IND vs. GSW	12/13/2021	L	48	104.2	107.4	-3.2	45.7	1.60	12.6	28.6	71.1	47.5	10.4	44.3	49.7	95.50	47.4
GSW	GSW @ IND	12/13/2021	W	48	107.4	104.2	3.2	50.0	1.17	16.3	28.9	71.4	52.5	18.9	54.8	56.6	95.50	52.6
HOU	HOU @ ATL	12/13/2021	W	48	125.7	122.3	3.4	58.7	2.45	18.5	32.7	79.5	54.2	10.5	57.8	61.2	104.00	51.9
TOR	TOR vs. SAC	12/13/2021	W	48	124.0	100.0	24.0	52.8	2.80	19.9	27.1	65.6	48.6	10.0	59.7	60.5	100.50	63.1
MEM	MEM vs. PHI	12/13/2021	W	48	127.3	91.0	36.3	61.7	2.64	20.7	26.1	82.4	55.7	11.1	60.7	63.6	99.50	65.3
BOS	BOS vs. MIL	12/13/2021	W	48	120.6	105.1	15.5	72.1	2.38	22.6	20.5	73.1	49.0	13.4	61.6	63.8	97.50	56.3
LAL	LAL vs. ORL	12/12/2021	W	48	108.2	96.9	11.3	58.5	1.71	18.2	22.2	66.1	47.1	14.3	56.5	57.9	97.50	61.5
MIL	MIL @ NYK	12/12/2021	W	48	116.7	100.0	16.7	64.3	1.80	19.6	31.3	77.6	54.6	15.6	55.7	58.7	96.50	56.8
NYK	NYK vs. MIL	12/12/2021	L	48	100.0	116.7	-16.7	77.1	1.59	20.0	22.4	68.8	45.4	17.5	53.0	55.3	96.50	43.2
DAL	DAL @ OKC	12/12/2021	W	48	109.6	88.4	21.2	65.8	2.78	18.8	26.8	88.5	56.5	9.6	47.2	51.4	94.50	64.2
OKC	OKC vs. DAL	12/12/2021	L	48	88.4	109.6	-21.2	63.3	1.73	16.0	11.5	73.2	43.5	11.6	45.6	48.3	94.50	35.8
SAS	SAS vs. NOP	12/12/2021	W	48	115.5	99.0	16.5	68.9	2.21	21.5	34.7	69.0	53.3	14.4	53.3	56.1	97.50	61.1
MIN	MIN @ POR	12/12/2021	W	48	116.0	109.9	6.1	60.5	1.35	16.4	33.3	68.8	50.5	17.0	52.9	58.5	100.50	50.8
DET	DET vs. BKN	12/12/2021	L	48	101.0	110.5	-9.5	61.5	1.14	16.7	30.9	66.7	47.6	20.4	50.0	52.0	104.00	41.1
POR	POR vs. MIN	12/12/2021	L	48	109.9	116.0	-6.1	67.6	1.32	18.0	31.3	66.7	49.5	18.8	56.8	59.5	100.50	49.2
ORL	ORL @ LAL	12/12/2021	L	48	96.9	108.2	-11.3	51.5	0.89	12.7	33.9	77.8	52.9	19.6	44.9	48.8	97.50	38.5
BKN	BKN @ DET	12/12/2021	W	48	110.5	101.0	9.5	68.3	1.56	19.2	33.3	69.1	52.4	17.1	53.4	59.2	104.00	58.9
NOP	NOP @ SAS	12/12/2021	L	48	99.0	115.5	-16.5	60.0	1.71	17.4	31.0	65.3	46.7	14.3	46.8	48.2	97.50	38.9
CHI	CHI @ MIA	12/11/2021	L	48	98.9	125.5	-26.6	71.0	1.38	16.9	27.3	66.7	45.6	17.2	47.6	50.1	93.50	31.9
UTA	UTA @ WAS	12/11/2021	W	48	125.5	101.0	24.5	58.3	3.11	20.0	29.8	76.5	54.1	9.2	58.6	61.2	97.50	64.4
