TEAM	MATCH_UP	GAME_DATE	W/L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO	ASTRAT	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE
CHI	CHI @ SAC	12/04/2022	L	48	98.1	106.8	-8.7	44.7	1.06	13.3	16.0	76.6	45.4	15.5	49.4	53.5	103.00	42.6
MEM	MEM @ DET	12/04/2022	W	48	119.6	108.7	10.9	65.1	2.00	19.2	31.4	74.0	52.5	13.7	54.9	58.2	102.50	54.2
PHX	PHX @ SAS	12/04/2022	W	48	134.3	96.0	38.4	77.6	3.45	24.8	35.4	68.0	52.0	11.1	62.2	64.7	99.00	70.3
DEN	DEN @ NOP	12/04/2022	L	48	106.0	119.8	-13.8	58.5	1.26	17.8	27.9	84.8	57.3	19.0	55.6	57.9	100.50	43.2
SAS	SAS vs. PHX	12/04/2022	L	48	96.0	134.3	-38.4	50.0	1.00	14.3	32.0	64.6	48.0	19.2	47.1	50.0	99.00	29.7
HOU	HOU @ GSW	12/03/2022	L	48	103.1	125.0	-21.9	42.5	1.13	12.8	34.6	83.7	56.8	15.3	45.6	50.6	97.00	41.9
GSW	GSW vs. HOU	12/03/2022	W	48	125.0	103.1	21.9	75.6	2.43	24.8	16.3	65.4	43.2	14.6	67.6	67.1	97.00	58.1
NYK	NYK vs. DAL	12/03/2022	L	48	99.0	117.5	-18.5	51.4	0.90	14.1	19.1	71.2	48.1	19.8	51.9	56.0	102.00	42.2
ORL	ORL @ TOR	12/03/2022	L	48	109.1	123.5	-14.4	60.5	1.44	17.4	24.4	65.0	44.4	16.2	55.8	60.4	98.50	42.3
DAL	DAL @ NYK	12/03/2022	W	48	117.5	99.0	18.5	62.8	2.45	18.5	28.8	80.9	51.9	10.7	55.0	57.0	102.00	57.8
CHA	CHA vs. MIL	12/03/2022	L	48	91.4	100.0	-8.6	44.1	1.07	11.5	20.4	78.3	47.0	13.3	42.0	48.8	105.00	43.5
TOR	TOR vs. ORL	12/03/2022	W	48	123.5	109.1	14.4	66.0	1.82	21.7	35.0	75.6	55.6	17.3	61.3	63.7	98.50	57.7
LAC	LAC vs. SAC	12/03/2022	L	48	95.0	121.8	-26.7	45.5	0.83	10.8	37.1	79.6	55.9	17.8	40.3	46.0	101.00	29.9
UTA	UTA vs. POR	12/03/2022	L	48	112.1	117.2	-5.1	52.6	1.54	15.5	22.4	73.5	48.0	13.1	53.0	57.6	99.00	47.7
SAC	SAC @ LAC	12/03/2022	W	48	121.8	95.0	26.7	67.4	3.44	21.8	20.4	62.9	44.1	8.9	57.9	60.2	101.00	70.1
MIL	MIL @ CHA	12/03/2022	W	48	100.0	91.4	8.6	61.5	1.09	17.4	21.7	79.6	53.0	21.0	54.2	57.5	105.00	56.5
MIN	MIN vs. OKC	12/03/2022	L	48	112.3	119.5	-7.2	53.2	1.09	16.1	35.6	67.3	52.1	20.2	58.4	62.6	113.50	49.1
OKC	OKC @ MIN	12/03/2022	W	48	119.5	112.3	7.2	54.2	1.24	16.8	32.7	64.4	47.9	18.6	57.5	62.3	113.50	50.9
POR	POR @ UTA	12/03/2022	W	48	117.2	112.1	5.1	46.3	1.46	14.5	26.5	77.6	52.0	13.1	54.1	58.8	99.00	52.3
MEM	MEM vs. PHI	12/02/2022	W	48	117.0	109.0	8.0	52.4	1.83	15.3	37.9	75.0	55.5	12.0	49.0	53.5	100.00	54.4
TOR	TOR @ BKN	12/02/2022	L	48	104.0	112.9	-8.9	42.1	1.14	12.3	26.4	76.2	48.4	13.9	47.7	52.4	101.00	43.8
ATL	ATL vs. DEN	12/02/2022	W	48	121.9	113.5	8.3	49.0	2.00	18.0	32.5	73.3	54.1	12.5	61.4	62.1	96.00	53.2
CLE	CLE vs. ORL	12/02/2022	W	48	116.3	103.2	13.1	53.7	1.69	17.9	23.3	69.8	46.5	14.1	58.3	60.8	92.50	54.8
LAL	LAL @ MIL	12/02/2022	W	48	133.0	130.3	2.7	61.5	8.00	21.9	31.3	74.5	52.6	4.0	59.3	61.8	99.50	52.8
GSW	GSW vs. CHI	12/02/2022	W	48	109.2	102.8	6.4	76.2	1.60	21.1	22.0	85.5	55.2	18.3	59.8	61.3	108.50	55.1
BOS	BOS vs. MIA	12/02/2022	L	53	104.5	107.1	-2.6	65.0	1.30	17.8	19.6	73.7	48.1	18.0	54.6	58.4	100.98	51.3
WAS	WAS @ CHA	12/02/2022	L	48	123.4	124.5	-1.1	59.0	1.64	16.4	46.0	64.4	56.0	14.9	52.3	57.2	94.00	51.1
PHX	PHX vs. HOU	12/02/2022	L	48	122.2	122.0	0.2	66.7	1.67	21.3	31.0	63.0	47.7	18.2	62.9	64.8	99.50	51.1
CHI	CHI @ GSW	12/02/2022	L	48	102.8	109.2	-6.4	65.1	2.33	19.4	14.5	78.0	44.8	11.1	51.1	53.6	108.50	44.9
BKN	BKN vs. TOR	12/02/2022	W	48	112.9	104.0	8.9	61.4	1.50	19.6	23.8	73.6	51.6	17.8	60.4	62.2	101.00	56.2
HOU	HOU @ PHX	12/02/2022	W	48	122.0	122.2	-0.2	47.5	1.12	14.0	37.0	69.0	52.3	17.0	54.3	61.0	99.50	48.9
ORL	ORL @ CLE	12/02/2022	L	48	103.2	116.3	-13.1	47.5	1.06	15.2	30.2	76.7	53.5	19.4	54.3	55.6	92.50	45.2
CHA	CHA vs. WAS	12/02/2022	W	48	124.5	123.4	1.1	62.5	6.25	17.9	35.6	54.0	44.0	4.3	48.4	53.8	94.00	48.9
MIA	MIA @ BOS	12/02/2022	W	53	107.1	104.5	2.6	39.6	1.12	13.1	26.3	80.4	51.9	15.2	53.0	55.1	100.98	48.7
MIL	MIL vs. LAL	12/02/2022	L	48	130.3	133.0	-2.7	58.0	2.90	20.7	25.5	68.8	47.4	10.1	62.2	64.1	99.50	47.2
PHI	PHI @ MEM	12/02/2022	L	48	109.0	117.0	-8.0	57.5	1.77	17.0	25.0	62.1	44.5	13.0	51.6	55.3	100.00	45.6
DEN	DEN @ ATL	12/02/2022	L	48	113.5	121.9	-8.3	68.9	1.94	22.3	26.7	67.5	45.9	16.7	60.0	60.1	96.00	46.8
UTA	UTA vs. IND	12/02/2022	W	48	120.9	102.6	18.3	63.0	1.12	18.6	29.3	77.2	57.1	22.6	64.5	70.0	115.50	61.5
IND	IND @ UTA	12/02/2022	L	48	102.6	120.9	-18.3	62.5	1.32	16.4	22.8	70.7	42.9	16.4	50.0	55.9	115.50	38.5
SAS	SAS vs. NOP	12/02/2022	L	48	94.3	113.6	-19.3	68.4	2.17	17.8	25.8	81.1	51.3	11.4	44.4	47.1	104.00	38.5
