TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
ATL	ATL vs. SAC	11/23/2022	W	48	115	41	92	44.6	11	30	36.7	22	23	95.7	10	37	47	23	13	9	6	20	9
PHX	PHX vs. LAL	11/22/2022	W	48	115	48	102	47.1	16	34	47.1	3	5	60.0	8	41	49	23	15	8	7	22	10
MEM	MEM vs. SAC	11/22/2022	L	48	109	41	91	45.1	8	30	26.7	19	30	63.3	13	36	49	26	18	12	10	23	-4
DEN	DEN vs. DET	11/22/2022	L	48	108	43	86	50.0	5	19	26.3	17	26	65.4	15	27	42	28	18	7	8	21	-2
SAC	SAC @ MEM	11/22/2022	W	48	113	39	90	43.3	15	45	33.3	20	27	74.1	9	36	45	27	20	11	2	25	4
BKN	BKN @ PHI	11/22/2022	L	48	106	44	80	55.0	9	28	32.1	9	13	69.2	4	31	35	31	15	5	13	15	-9
LAL	LAL @ PHX	11/22/2022	L	48	105	36	85	42.4	4	22	18.2	29	35	82.9	7	38	45	19	17	8	7	12	-10
PHI	PHI vs. BKN	11/22/2022	W	48	115	43	99	43.4	16	32	50.0	13	16	81.3	20	29	49	19	10	9	4	12	9
DET	DET @ DEN	11/22/2022	W	48	110	45	88	51.1	8	28	28.6	12	14	85.7	12	28	40	27	16	7	5	24	2
BOS	BOS @ CHI	11/21/2022	L	48	107	38	87	43.7	19	50	38.0	12	17	70.6	5	33	38	28	15	3	4	18	-14
GSW	GSW @ NOP	11/21/2022	L	48	83	28	74	37.8	10	43	23.3	17	19	89.5	4	30	34	17	27	9	5	20	-45
ATL	ATL @ CLE	11/21/2022	L	48	102	38	87	43.7	11	34	32.4	15	17	88.2	10	25	35	24	17	11	3	21	-12
OKC	OKC vs. NYK	11/21/2022	L	48	119	43	88	48.9	8	24	33.3	25	32	78.1	11	27	38	25	14	5	5	18	-10
POR	POR @ MIL	11/21/2022	L	48	111	44	93	47.3	8	29	27.6	15	19	78.9	12	28	40	19	16	5	3	17	-8
UTA	UTA @ LAC	11/21/2022	L	48	114	40	89	44.9	12	38	31.6	22	24	91.7	16	29	45	22	17	8	5	18	-7
MIA	MIA @ MIN	11/21/2022	L	48	101	35	90	38.9	11	38	28.9	20	30	66.7	12	34	46	26	15	9	5	20	-4
ORL	ORL @ IND	11/21/2022	L	48	102	36	85	42.4	11	35	31.4	19	25	76.0	12	26	38	20	17	10	2	25	-21
MIN	MIN vs. MIA	11/21/2022	W	48	105	37	85	43.5	14	47	29.8	17	20	85.0	6	34	40	30	18	9	6	25	4
CHI	CHI vs. BOS	11/21/2022	W	48	121	46	89	51.7	14	29	48.3	15	20	75.0	8	43	51	26	15	10	1	19	14
CLE	CLE vs. ATL	11/21/2022	W	48	114	42	70	60.0	10	19	52.6	20	23	87.0	3	34	37	24	20	8	3	17	12
NYK	NYK @ OKC	11/21/2022	W	48	129	51	97	52.6	11	34	32.4	16	20	80.0	14	34	48	21	15	10	2	28	10
IND	IND vs. ORL	11/21/2022	W	48	123	43	86	50.0	13	46	28.3	24	27	88.9	12	36	48	32	21	9	5	23	21
MIL	MIL vs. POR	11/21/2022	W	48	119	47	86	54.7	9	28	32.1	16	25	64.0	10	32	42	31	14	12	8	17	8
LAC	LAC vs. UTA	11/21/2022	W	48	121	47	91	51.6	9	24	37.5	18	19	94.7	12	29	41	26	16	6	6	20	7
NOP	NOP vs. GSW	11/21/2022	W	48	128	49	91	53.8	15	42	35.7	15	21	71.4	11	39	50	30	14	15	5	16	45
DET	DET @ SAC	11/20/2022	L	48	129	47	89	52.8	15	29	51.7	20	23	87.0	10	25	35	20	12	4	3	24	-8
WAS	WAS vs. CHA	11/20/2022	W	48	106	40	93	43.0	13	34	38.2	13	18	72.2	14	35	49	19	17	6	13	19	4
SAC	SAC vs. DET	11/20/2022	W	48	137	47	85	55.3	12	35	34.3	31	35	88.6	8	33	41	29	11	4	0	18	8
BKN	BKN vs. MEM	11/20/2022	W	48	127	50	83	60.2	16	34	47.1	11	15	73.3	5	40	45	33	19	5	5	25	12
HOU	HOU vs. GSW	11/20/2022	L	48	120	41	90	45.6	15	45	33.3	23	27	85.2	12	33	45	24	14	13	1	12	-7
MEM	MEM @ BKN	11/20/2022	L	48	115	43	99	43.4	12	37	32.4	17	31	54.8	13	31	44	28	10	13	0	12	-12
CHA	CHA @ WAS	11/20/2022	L	48	102	39	100	39.0	8	32	25.0	16	23	69.6	15	36	51	19	13	5	5	18	-4
PHX	PHX vs. NYK	11/20/2022	W	48	116	43	101	42.6	17	39	43.6	13	18	72.2	22	38	60	35	13	3	8	22	21
SAS	SAS @ LAL	11/20/2022	L	48	92	41	105	39.0	7	34	20.6	3	10	30.0	13	31	44	26	10	7	2	17	-31
