TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
PHX	PHX vs. DAL	10/19/2022	W	48	107	40	85	47.1	8	22	36.4	19	22	86.4	8	32	40	25	12	4	5	29	2
MEM	MEM vs. NYK	10/19/2022	W	53	115	42	108	38.9	17	50	34.0	14	23	60.9	20	44	64	27	14	6	7	17	3
SAC	SAC vs. POR	10/19/2022	L	48	108	39	85	45.9	17	44	38.6	13	19	68.4	4	37	41	27	16	8	5	25	-7
CHI	CHI @ MIA	10/19/2022	W	48	116	41	93	44.1	13	36	36.1	21	28	75.0	12	34	46	23	15	12	6	26	8
DET	DET vs. ORL	10/19/2022	W	48	113	40	94	42.6	14	38	36.8	19	24	79.2	12	29	41	31	13	11	4	21	4
MIN	MIN vs. OKC	10/19/2022	W	48	115	39	94	41.5	10	38	26.3	27	33	81.8	14	41	55	25	14	6	5	21	7
UTA	UTA vs. DEN	10/19/2022	W	48	123	42	83	50.6	16	38	42.1	23	31	74.2	11	32	43	27	20	10	1	21	21
ATL	ATL vs. HOU	10/19/2022	W	48	117	45	90	50.0	7	25	28.0	20	24	83.3	4	34	38	30	9	12	5	18	10
OKC	OKC @ MIN	10/19/2022	L	48	108	38	99	38.4	14	45	31.1	18	22	81.8	16	41	57	22	14	6	6	26	-7
BKN	BKN vs. NOP	10/19/2022	L	48	108	40	89	44.9	10	33	30.3	18	24	75.0	9	30	39	22	16	10	10	25	-22
POR	POR @ SAC	10/19/2022	W	48	115	39	88	44.3	11	28	39.3	26	33	78.8	11	33	44	20	11	11	2	17	7
HOU	HOU @ ATL	10/19/2022	L	48	107	42	98	42.9	9	35	25.7	14	15	93.3	15	39	54	25	16	4	3	20	-10
DEN	DEN @ UTA	10/19/2022	L	48	102	40	83	48.2	5	22	22.7	17	18	94.4	10	25	35	21	21	10	3	23	-21
CHA	CHA @ SAS	10/19/2022	W	48	129	48	94	51.1	13	29	44.8	20	23	87.0	14	37	51	26	15	7	10	20	27
WAS	WAS @ IND	10/19/2022	W	48	114	42	92	45.7	11	31	35.5	19	24	79.2	14	39	53	21	17	5	10	19	7
DAL	DAL @ PHX	10/19/2022	L	48	105	35	75	46.7	14	35	40.0	21	34	61.8	5	35	40	17	12	6	4	22	-2
IND	IND vs. WAS	10/19/2022	L	48	107	39	97	40.2	15	42	35.7	14	21	66.7	12	30	42	21	15	7	5	20	-7
NOP	NOP @ BKN	10/19/2022	W	48	130	50	102	49.0	12	26	46.2	18	25	72.0	21	40	61	31	13	9	4	21	22
CLE	CLE @ TOR	10/19/2022	L	48	105	38	77	49.4	10	28	35.7	19	23	82.6	6	32	38	25	17	5	5	21	-3
ORL	ORL @ DET	10/19/2022	L	48	109	42	86	48.8	11	30	36.7	14	19	73.7	10	38	48	21	18	5	5	24	-4
TOR	TOR vs. CLE	10/19/2022	W	48	108	36	86	41.9	13	30	43.3	23	32	71.9	12	29	41	19	13	15	4	23	3
SAS	SAS vs. CHA	10/19/2022	L	48	102	40	99	40.4	7	34	20.6	15	21	71.4	14	30	44	22	15	8	8	19	-27
LAL	LAL @ GSW	10/18/2022	L	48	109	40	94	42.6	10	40	25.0	19	25	76.0	9	39	48	23	22	12	4	18	-14
GSW	GSW vs. LAL	10/18/2022	W	48	123	45	99	45.5	16	45	35.6	17	23	73.9	11	37	48	31	18	11	4	23	14
BOS	BOS vs. PHI	10/18/2022	W	48	126	46	82	56.1	12	35	34.3	22	28	78.6	6	30	36	24	11	8	3	24	9
PHI	PHI @ BOS	10/18/2022	L	48	117	40	80	50.0	13	34	38.2	24	28	85.7	4	27	31	16	14	8	3	25	-9
DAL	DAL @ SAC	12/31/2021	W	48	112	42	81	51.9	9	22	40.9	19	22	86.4	10	37	47	30	13	5	7	14	16
UTA	UTA vs. MIN	12/31/2021	W	48	120	37	78	47.4	11	29	37.9	35	41	85.4	10	39	49	18	18	4	5	20	12
HOU	HOU vs. MIA	12/31/2021	L	48	110	41	93	44.1	14	42	33.3	14	17	82.4	15	31	46	21	18	9	4	27	-10
ATL	ATL @ CLE	12/31/2021	W	48	121	43	97	44.3	16	38	42.1	19	21	90.5	14	30	44	23	2	8	4	23	3
IND	IND vs. CHI	12/31/2021	L	48	106	38	91	41.8	8	31	25.8	22	29	75.9	17	38	55	23	17	7	8	22	-2
NYK	NYK @ OKC	12/31/2021	L	48	80	30	81	37.0	8	41	19.5	12	22	54.5	5	43	48	12	10	6	3	12	-15
LAC	LAC @ TOR	12/31/2021	L	48	108	38	78	48.7	15	34	44.1	17	19	89.5	3	34	37	27	13	6	7	24	-8
SAS	SAS @ MEM	12/31/2021	L	48	105	39	90	43.3	12	35	34.3	15	24	62.5	11	36	47	24	11	3	8	15	-13
MEM	MEM vs. SAS	12/31/2021	W	48	118	49	102	48.0	10	26	38.5	10	16	62.5	16	42	58	28	10	7	11	18	13
MIN	MIN @ UTA	12/31/2021	L	48	108	40	93	43.0	14	41	34.1	14	22	63.6	11	30	41	23	10	9	5	30	-12
BOS	BOS vs. PHX	12/31/2021	W	48	123	45	83	54.2	10	27	37.0	23	26	88.5	13	38	51	28	18	6	7	18	15
MIA	MIA @ HOU	12/31/2021	W	48	120	40	86	46.5	14	33	42.4	26	31	83.9	11	32	43	21	14	7	6	16	10
LAL	LAL vs. POR	12/31/2021	W	48	139	47	85	55.3	19	41	46.3	26	30	86.7	5	42	47	27	7	6	9	21	33
CHI	CHI @ IND	12/31/2021	W	48	108	35	86	40.7	12	27	44.4	26	30	86.7	8	34	42	22	11	11	5	19	2
OKC	OKC vs. NYK	12/31/2021	W	48	95	36	87	41.4	18	43	41.9	5	7	71.4	7	42	49	21	10	6	3	17	15
TOR	TOR vs. LAC	12/31/2021	W	48	116	40	96	41.7	11	35	31.4	25	33	75.8	18	36	54	19	7	8	4	18	8
POR	POR @ LAL	12/31/2021	L	48	106	36	102	35.3	12	42	28.6	22	27	81.5	21	33	54	19	9	4	2	22	-33
CLE	CLE vs. ATL	12/31/2021	L	48	118	48	84	57.1	8	25	32.0	14	24	58.3	8	38	46	27	9	1	8	18	-3
SAC	SAC vs. DAL	12/31/2021	L	48	96	38	91	41.8	10	29	34.5	10	12	83.3	8	25	33	25	10	7	4	16	-16
PHX	PHX @ BOS	12/31/2021	L	48	108	41	100	41.0	11	35	31.4	15	16	93.8	15	22	37	20	10	10	2	21	-15
BKN	BKN vs. PHI	12/30/2021	L	48	102	37	81	45.7	7	27	25.9	21	27	77.8	12	40	52	21	18	4	9	22	-8
MIL	MIL @ ORL	12/30/2021	W	48	136	45	91	49.5	13	33	39.4	33	36	91.7	14	36	50	24	13	7	6	19	18
ORL	ORL vs. MIL	12/30/2021	L	48	118	42	87	48.3	13	36	36.1	21	27	77.8	6	27	33	26	10	5	1	26	-18
WAS	WAS vs. CLE	12/30/2021	W	48	110	45	90	50.0	9	29	31.0	11	17	64.7	10	37	47	27	8	7	8	19	17
PHI	PHI @ BKN	12/30/2021	W	48	110	42	100	42.0	13	32	40.6	13	20	65.0	14	29	43	22	8	10	4	20	8
CLE	CLE @ WAS	12/30/2021	L	48	93	35	83	42.2	8	28	28.6	15	23	65.2	8	36	44	20	13	4	3	17	-17
CHI	CHI vs. ATL	12/29/2021	W	48	131	52	84	61.9	10	22	45.5	17	22	77.3	6	35	41	38	15	9	6	18	14
DAL	DAL @ SAC	12/29/2021	L	48	94	38	81	46.9	9	24	37.5	9	13	69.2	7	29	36	23	13	7	5	19	-1
PHX	PHX vs. OKC	12/29/2021	W	48	115	41	89	46.1	12	34	35.3	21	28	75.0	18	38	56	22	15	7	7	15	18
MEM	MEM vs. LAL	12/29/2021	W	48	104	35	85	41.2	10	30	33.3	24	29	82.8	13	30	43	18	13	13	5	11	5
LAL	LAL @ MEM	12/29/2021	L	48	99	39	86	45.3	15	41	36.6	6	8	75.0	7	32	39	24	18	5	5	25	-5
NYK	NYK @ DET	12/29/2021	W	48	94	31	81	38.3	8	31	25.8	24	27	88.9	11	37	48	19	17	11	5	14	9
LAC	LAC @ BOS	12/29/2021	W	48	91	33	81	40.7	11	28	39.3	14	17	82.4	9	40	49	17	16	5	4	12	9
CHA	CHA @ IND	12/29/2021	W	48	116	44	85	51.8	9	26	34.6	19	32	59.4	8	40	48	27	14	12	5	20	8
IND	IND vs. CHA	12/29/2021	L	48	108	36	86	41.9	17	45	37.8	19	29	65.5	10	35	45	25	18	8	6	20	-8
DET	DET vs. NYK	12/29/2021	L	48	85	30	81	37.0	12	35	34.3	13	17	76.5	8	35	43	19	17	11	5	23	-9
SAC	SAC vs. DAL	12/29/2021	W	48	95	36	75	48.0	10	26	38.5	13	15	86.7	7	31	38	21	15	5	2	21	1
POR	POR vs. UTA	12/29/2021	L	48	105	37	88	42.0	14	40	35.0	17	24	70.8	11	34	45	23	11	6	3	28	-15
UTA	UTA @ POR	12/29/2021	W	48	120	46	87	52.9	8	29	27.6	20	32	62.5	13	33	46	22	11	6	3	20	15
BOS	BOS vs. LAC	12/29/2021	L	48	82	35	101	34.7	4	42	9.5	8	11	72.7	21	29	50	19	8	8	8	16	-9
OKC	OKC @ PHX	12/29/2021	L	48	97	38	96	39.6	7	35	20.0	14	16	87.5	14	31	45	19	12	6	1	24	-18
ATL	ATL @ CHI	12/29/2021	L	48	117	44	92	47.8	11	26	42.3	18	26	69.2	10	27	37	26	11	6	3	17	-14
SAC	SAC vs. OKC	12/28/2021	W	48	117	40	95	42.1	17	39	43.6	20	27	74.1	11	46	57	25	10	3	9	22	6
HOU	HOU vs. LAL	12/28/2021	L	48	123	44	83	53.0	16	35	45.7	19	25	76.0	4	26	30	24	14	10	7	20	-9
NYK	NYK @ MIN	12/28/2021	W	48	96	37	90	41.1	16	40	40.0	6	16	37.5	15	39	54	20	16	5	4	20	8
PHI	PHI @ TOR	12/28/2021	W	48	114	34	77	44.2	14	30	46.7	32	38	84.2	8	34	42	23	8	6	4	18	5
OKC	OKC @ SAC	12/28/2021	L	48	111	35	90	38.9	11	33	33.3	30	36	83.3	8	37	45	16	9	6	6	21	-6
DEN	DEN @ GSW	12/28/2021	W	48	89	34	83	41.0	8	33	24.2	13	20	65.0	13	31	44	24	16	10	5	19	3
TOR	TOR vs. PHI	12/28/2021	L	48	109	38	87	43.7	15	41	36.6	18	22	81.8	9	34	43	24	10	7	5	24	-5
ORL	ORL vs. MIL	12/28/2021	L	48	110	38	83	45.8	12	39	30.8	22	26	84.6	7	30	37	24	13	7	4	25	-17
LAL	LAL @ HOU	12/28/2021	W	48	132	48	92	52.2	14	34	41.2	22	29	75.9	14	34	48	27	12	8	6	23	9
MIA	MIA vs. WAS	12/28/2021	W	48	119	41	92	44.6	16	34	47.1	21	23	91.3	14	28	42	26	8	14	5	13	7
MIN	MIN vs. NYK	12/28/2021	L	48	88	34	85	40.0	7	38	18.4	13	20	65.0	10	35	45	22	11	6	11	22	-8
GSW	GSW vs. DEN	12/28/2021	L	48	86	30	72	41.7	10	32	31.3	16	31	51.6	8	35	43	20	17	8	2	20	-3
CLE	CLE @ NOP	12/28/2021	L	48	104	37	88	42.0	14	41	34.1	16	19	84.2	11	31	42	27	8	6	3	19	-4
NOP	NOP vs. CLE	12/28/2021	W	48	108	36	80	45.0	16	36	44.4	20	26	76.9	8	36	44	24	13	3	8	16	4
WAS	WAS @ MIA	12/28/2021	L	48	112	42	85	49.4	17	42	40.5	11	14	78.6	13	34	47	27	18	5	3	20	-7
MIL	MIL @ ORL	12/28/2021	W	48	127	47	85	55.3	17	37	45.9	16	22	72.7	7	33	40	31	13	4	3	20	17
MEM	MEM @ PHX	12/27/2021	W	48	114	45	88	51.1	11	29	37.9	13	17	76.5	15	35	50	22	19	10	6	23	1
CHA	CHA vs. HOU	12/27/2021	W	48	123	47	88	53.4	18	41	43.9	11	14	78.6	7	32	39	33	16	13	4	18	24
UTA	UTA @ SAS	12/27/2021	W	48	110	39	86	45.3	9	31	29.0	23	30	76.7	7	48	55	19	15	9	4	15	6
ATL	ATL vs. CHI	12/27/2021	L	48	118	40	89	44.9	15	34	44.1	23	26	88.5	11	34	45	22	10	3	5	14	-12
SAS	SAS vs. UTA	12/27/2021	L	48	104	45	100	45.0	10	30	33.3	4	9	44.4	9	35	44	26	10	8	3	24	-6
BKN	BKN @ LAC	12/27/2021	W	48	124	50	88	56.8	13	34	38.2	11	16	68.8	7	40	47	31	15	7	8	25	16
HOU	HOU @ CHA	12/27/2021	L	48	99	36	87	41.4	15	46	32.6	12	18	66.7	13	31	44	20	21	9	3	15	-24
BOS	BOS @ MIN	12/27/2021	L	48	103	33	89	37.1	16	47	34.0	21	28	75.0	15	38	53	23	14	8	10	16	-5
DAL	DAL @ POR	12/27/2021	W	48	132	48	84	57.1	12	33	36.4	24	33	72.7	10	31	41	38	13	6	4	31	15
PHX	PHX vs. MEM	12/27/2021	L	48	113	41	90	45.6	11	31	35.5	20	23	87.0	10	25	35	25	11	11	2	16	-1
CHI	CHI @ ATL	12/27/2021	W	48	130	51	94	54.3	18	37	48.6	10	14	71.4	9	35	44	29	10	5	6	19	12
POR	POR vs. DAL	12/27/2021	L	48	117	35	82	42.7	12	40	30.0	35	42	83.3	8	25	33	19	11	4	5	28	-15
MIN	MIN vs. BOS	12/27/2021	W	48	108	40	90	44.4	14	34	41.2	14	19	73.7	11	42	53	30	14	7	5	17	5
LAC	LAC vs. BKN	12/27/2021	L	48	108	37	97	38.1	14	37	37.8	20	27	74.1	17	28	45	25	12	7	4	17	-16
CHI	CHI vs. IND	12/26/2021	W	48	113	43	76	56.6	11	23	47.8	16	22	72.7	2	38	40	17	15	5	6	20	8
LAC	LAC vs. DEN	12/26/2021	L	48	100	40	86	46.5	8	26	30.8	12	18	66.7	8	38	46	26	14	8	7	22	-3
DET	DET @ SAS	12/26/2021	L	48	109	38	98	38.8	8	32	25.0	25	34	73.5	14	28	42	16	14	10	5	30	-35
SAC	SAC vs. MEM	12/26/2021	L	48	102	34	81	42.0	10	29	34.5	24	27	88.9	9	29	38	22	18	7	9	23	-25
NOP	NOP @ OKC	12/26/2021	L	48	112	39	94	41.5	10	41	24.4	24	28	85.7	11	38	49	26	11	10	4	19	-5
CLE	CLE vs. TOR	12/26/2021	W	48	144	56	106	52.8	22	52	42.3	10	12	83.3	13	39	52	39	15	12	5	17	45
IND	IND @ CHI	12/26/2021	L	48	105	41	94	43.6	8	30	26.7	15	21	71.4	14	31	45	23	9	9	5	16	-8
MIA	MIA vs. ORL	12/26/2021	W	48	93	36	89	40.4	10	34	29.4	11	18	61.1	20	31	51	28	14	7	1	19	10
WAS	WAS vs. PHI	12/26/2021	L	48	96	35	90	38.9	8	33	24.2	18	28	64.3	14	29	43	22	8	6	1	18	-21
PHI	PHI @ WAS	12/26/2021	W	48	117	43	86	50.0	12	31	38.7	19	22	86.4	10	40	50	25	13	6	8	23	21
SAS	SAS vs. DET	12/26/2021	W	48	144	51	91	56.0	13	27	48.1	29	37	78.4	9	43	52	39	19	6	5	28	35
TOR	TOR @ CLE	12/26/2021	L	48	99	37	89	41.6	9	36	25.0	16	23	69.6	11	32	43	24	21	11	3	13	-45
DEN	DEN @ LAC	12/26/2021	W	48	103	39	95	41.1	15	41	36.6	10	11	90.9	10	38	48	29	14	7	4	20	3
OKC	OKC vs. NOP	12/26/2021	W	48	117	41	86	47.7	13	36	36.1	22	31	71.0	7	40	47	24	12	8	5	23	5
ORL	ORL @ MIA	12/26/2021	L	48	83	31	72	43.1	10	32	31.3	11	17	64.7	8	35	43	17	19	6	4	19	-10
MEM	MEM @ SAC	12/26/2021	W	48	127	47	100	47.0	9	30	30.0	24	30	80.0	19	34	53	33	12	11	6	19	25
PHX	PHX vs. GSW	12/25/2021	L	48	107	40	83	48.2	11	30	36.7	16	16	100	9	28	37	20	13	5	2	17	-9
BKN	BKN @ LAL	12/25/2021	W	48	122	43	89	48.3	14	32	43.8	22	27	81.5	6	35	41	31	12	6	9	25	7
MIL	MIL vs. BOS	12/25/2021	W	48	117	43	91	47.3	12	33	36.4	19	27	70.4	15	33	48	24	13	7	6	20	4
LAL	LAL vs. BKN	12/25/2021	L	48	115	40	96	41.7	10	35	28.6	25	28	89.3	12	35	47	29	14	8	5	23	-7
UTA	UTA vs. DAL	12/25/2021	W	48	120	40	90	44.4	12	36	33.3	28	37	75.7	13	36	49	24	14	9	6	24	4
ATL	ATL @ NYK	12/25/2021	L	48	87	33	87	37.9	13	38	34.2	8	14	57.1	8	38	46	23	12	8	5	12	-14
BOS	BOS @ MIL	12/25/2021	L	48	113	38	89	42.7	17	45	37.8	20	24	83.3	11	33	44	24	14	9	8	23	-4
NYK	NYK vs. ATL	12/25/2021	W	48	101	38	85	44.7	20	50	40.0	5	12	41.7	9	41	50	28	10	6	6	13	14
GSW	GSW @ PHX	12/25/2021	W	48	116	42	85	49.4	14	37	37.8	18	21	85.7	12	30	42	28	11	11	7	22	9
DAL	DAL @ UTA	12/25/2021	L	48	116	38	89	42.7	10	30	33.3	30	35	85.7	8	35	43	19	14	7	3	31	-4
ATL	ATL @ PHI	12/23/2021	W	48	98	37	82	45.1	7	24	29.2	17	19	89.5	11	35	46	20	16	5	4	19	2
MIL	MIL @ DAL	12/23/2021	W	48	102	37	82	45.1	10	36	27.8	18	22	81.8	6	41	47	26	12	7	5	16	7
NOP	NOP @ ORL	12/23/2021	W	48	110	37	86	43.0	13	30	43.3	23	26	88.5	12	34	46	21	10	4	2	13	6
DAL	DAL vs. MIL	12/23/2021	L	48	95	35	86	40.7	12	45	26.7	13	17	76.5	8	35	43	25	11	6	2	21	-7
WAS	WAS @ NYK	12/23/2021	W	48	124	42	75	56.0	16	37	43.2	24	32	75.0	5	33	38	30	11	4	6	18	7
OKC	OKC @ PHX	12/23/2021	L	48	101	37	96	38.5	11	41	26.8	16	21	76.2	11	33	44	17	13	6	5	10	-12
ORL	ORL vs. NOP	12/23/2021	L	48	104	38	88	43.2	9	32	28.1	19	21	90.5	10	34	44	19	9	6	11	26	-6
NYK	NYK vs. WAS	12/23/2021	L	48	117	42	93	45.2	13	42	31.0	20	23	87.0	14	30	44	17	7	2	1	21	-7
UTA	UTA vs. MIN	12/23/2021	W	48	128	48	90	53.3	16	39	41.0	16	22	72.7	10	35	45	31	15	7	7	17	12
MEM	MEM @ GSW	12/23/2021	L	48	104	38	90	42.2	8	26	30.8	20	24	83.3	14	28	42	18	13	10	6	20	-9
IND	IND vs. HOU	12/23/2021	W	48	118	46	88	52.3	13	38	34.2	13	19	68.4	15	32	47	27	15	6	6	21	12
PHX	PHX vs. OKC	12/23/2021	W	48	113	45	93	48.4	15	39	38.5	8	13	61.5	11	41	52	26	14	9	8	22	12
SAS	SAS @ LAL	12/23/2021	W	48	138	46	95	48.4	18	39	46.2	28	33	84.8	12	38	50	33	6	7	5	21	28
CHA	CHA @ DEN	12/23/2021	W	48	115	39	94	41.5	16	47	34.0	21	24	87.5	12	38	50	28	11	10	8	21	8
GSW	GSW vs. MEM	12/23/2021	W	48	113	40	82	48.8	19	40	47.5	14	18	77.8	8	31	39	30	19	9	9	19	9
MIN	MIN @ UTA	12/23/2021	L	48	116	45	101	44.6	17	45	37.8	9	12	75.0	15	29	44	29	14	7	4	19	-12
PHI	PHI vs. ATL	12/23/2021	L	48	96	33	80	41.3	6	27	22.2	24	26	92.3	8	30	38	20	8	8	7	13	-2
DEN	DEN vs. CHA	12/23/2021	L	48	107	40	96	41.7	14	40	35.0	13	17	76.5	10	44	54	23	15	7	2	22	-8
MIA	MIA vs. DET	12/23/2021	W	48	115	43	88	48.9	12	32	37.5	17	19	89.5	6	37	43	23	13	4	0	25	3
DET	DET @ MIA	12/23/2021	L	48	112	36	80	45.0	18	40	45.0	22	25	88.0	6	37	43	23	16	9	5	25	-3
HOU	HOU @ IND	12/23/2021	L	48	106	35	80	43.8	15	37	40.5	21	26	80.8	8	20	28	16	13	9	6	17	-12
LAL	LAL vs. SAS	12/23/2021	L	48	110	44	94	46.8	5	27	18.5	17	30	56.7	14	34	48	21	14	4	6	20	-28
HOU	HOU @ MIL	12/22/2021	L	48	106	36	86	41.9	13	45	28.9	21	31	67.7	13	39	52	23	15	0	7	21	-20
MIL	MIL vs. HOU	12/22/2021	W	48	126	45	103	43.7	17	46	37.0	19	21	90.5	14	34	48	25	7	8	2	24	20
OKC	OKC vs. DEN	12/22/2021	W	48	108	42	94	44.7	8	34	23.5	16	19	84.2	15	45	60	22	11	7	4	25	14
DEN	DEN @ OKC	12/22/2021	L	48	94	33	84	39.3	13	44	29.5	15	26	57.7	4	35	39	21	11	7	5	18	-14
ORL	ORL @ ATL	12/22/2021	W	48	104	38	85	44.7	11	37	29.7	17	23	73.9	8	32	40	27	10	11	5	24	6
LAC	LAC @ SAC	12/22/2021	W	48	105	42	82	51.2	7	24	29.2	14	16	87.5	6	37	43	26	13	10	3	15	16
BOS	BOS vs. CLE	12/22/2021	W	48	111	43	92	46.7	11	30	36.7	14	18	77.8	12	36	48	24	13	12	5	24	10
CLE	CLE @ BOS	12/22/2021	L	48	101	36	92	39.1	9	38	23.7	20	24	83.3	15	38	53	17	16	8	3	15	-10
SAC	SAC vs. LAC	12/22/2021	L	48	89	34	85	40.0	12	38	31.6	9	12	75.0	7	33	40	24	19	7	5	15	-16
ATL	ATL vs. ORL	12/22/2021	L	48	98	32	80	40.0	12	31	38.7	22	29	75.9	13	36	49	21	14	4	8	19	-6
DET	DET @ NYK	12/21/2021	L	48	91	34	94	36.2	8	33	24.2	15	19	78.9	10	38	48	22	14	9	4	18	-14
MIN	MIN @ DAL	12/21/2021	L	48	102	36	79	45.6	13	40	32.5	17	20	85.0	9	30	39	26	17	4	5	22	-12
LAL	LAL vs. PHX	12/21/2021	L	48	90	34	87	39.1	7	35	20.0	15	23	65.2	6	41	47	14	15	9	3	18	-18
PHX	PHX @ LAL	12/21/2021	W	48	108	41	93	44.1	12	41	29.3	14	15	93.3	8	45	53	29	16	11	4	18	18
MIA	MIA vs. IND	12/21/2021	W	48	125	47	95	49.5	22	49	44.9	9	11	81.8	15	38	53	30	11	5	5	21	29
IND	IND @ MIA	12/21/2021	L	48	96	31	87	35.6	11	31	35.5	23	28	82.1	11	31	42	22	12	6	3	13	-29
POR	POR @ NOP	12/21/2021	L	48	97	35	78	44.9	13	34	38.2	14	19	73.7	7	24	31	18	11	12	4	17	-14
NYK	NYK vs. DET	12/21/2021	W	48	105	40	90	44.4	11	33	33.3	14	19	73.7	13	39	52	22	13	5	7	19	14
DAL	DAL vs. MIN	12/21/2021	W	48	114	42	86	48.8	11	34	32.4	19	23	82.6	10	34	44	30	11	11	3	22	12
NOP	NOP vs. POR	12/21/2021	W	48	111	42	80	52.5	12	33	36.4	15	18	83.3	8	36	44	27	16	5	3	19	14
MEM	MEM vs. OKC	12/20/2021	L	48	99	39	101	38.6	11	32	34.4	10	13	76.9	17	34	51	24	12	9	2	21	-3
SAS	SAS @ LAC	12/20/2021	W	48	116	50	114	43.9	12	37	32.4	4	6	66.7	23	43	66	37	12	11	4	19	24
HOU	HOU @ CHI	12/20/2021	L	48	118	44	78	56.4	12	33	36.4	18	24	75.0	7	28	35	27	14	4	4	17	-15
GSW	GSW vs. SAC	12/20/2021	W	48	113	46	88	52.3	15	37	40.5	6	9	66.7	10	32	42	28	16	12	9	18	15
OKC	OKC @ MEM	12/20/2021	W	48	102	36	84	42.9	11	38	28.9	19	28	67.9	9	38	47	24	14	7	7	17	3
CHI	CHI vs. HOU	12/20/2021	W	48	133	47	88	53.4	16	35	45.7	23	24	95.8	9	25	34	33	8	7	5	23	15
LAC	LAC vs. SAS	12/20/2021	L	48	92	34	87	39.1	9	32	28.1	15	20	75.0	9	34	43	18	15	6	5	15	-24
BOS	BOS vs. PHI	12/20/2021	L	48	103	38	82	46.3	7	27	25.9	20	25	80.0	11	31	42	16	18	9	5	23	-5
PHI	PHI @ BOS	12/20/2021	W	48	108	36	72	50.0	10	25	40.0	26	31	83.9	2	32	34	20	17	11	7	23	5
SAC	SAC @ GSW	12/20/2021	L	48	98	37	83	44.6	13	32	40.6	11	16	68.8	6	31	37	23	21	10	3	9	-15
CHA	CHA @ UTA	12/20/2021	L	48	102	39	101	38.6	15	43	34.9	9	9	100	11	40	51	27	13	7	4	25	-10
UTA	UTA vs. CHA	12/20/2021	W	48	112	34	96	35.4	16	53	30.2	28	37	75.7	22	46	68	21	17	4	6	14	10
POR	POR @ MEM	12/19/2021	W	48	105	35	74	47.3	11	32	34.4	24	28	85.7	9	42	51	17	25	4	9	18	5
MIN	MIN vs. DAL	12/19/2021	W	48	111	36	77	46.8	15	34	44.1	24	31	77.4	6	31	37	26	9	6	3	22	6
MIA	MIA @ DET	12/19/2021	L	48	90	28	74	37.8	13	43	30.2	21	33	63.6	8	31	39	23	13	4	3	27	-10
MEM	MEM vs. POR	12/19/2021	L	48	100	35	91	38.5	9	34	26.5	21	25	84.0	10	23	33	22	8	13	5	22	-5
SAS	SAS @ SAC	12/19/2021	L	48	114	45	91	49.5	12	25	48.0	12	13	92.3	13	31	44	24	14	7	8	12	-7
SAC	SAC vs. SAS	12/19/2021	W	48	121	46	91	50.5	14	25	56.0	15	18	83.3	11	29	40	23	12	11	3	19	7
LAL	LAL @ CHI	12/19/2021	L	48	110	42	82	51.2	12	34	35.3	14	22	63.6	9	37	46	25	20	6	8	25	-5
CHA	CHA @ PHX	12/19/2021	L	48	106	36	100	36.0	10	45	22.2	24	28	85.7	13	30	43	26	9	12	6	12	-31
CHI	CHI vs. LAL	12/19/2021	W	48	115	40	93	43.0	10	30	33.3	25	31	80.6	16	27	43	20	10	10	3	17	5
PHX	PHX vs. CHA	12/19/2021	W	48	137	54	95	56.8	20	41	48.8	9	13	69.2	10	47	57	35	18	5	8	21	31
DAL	DAL @ MIN	12/19/2021	L	48	105	36	82	43.9	12	41	29.3	21	22	95.5	7	34	41	27	12	5	2	25	-6
DET	DET vs. MIA	12/19/2021	W	48	100	35	75	46.7	8	32	25.0	22	30	73.3	6	41	47	24	15	4	2	28	10
CLE	CLE @ MIL	12/18/2021	W	48	119	45	90	50.0	16	45	35.6	13	14	92.9	9	37	46	36	15	11	3	13	29
NYK	NYK @ BOS	12/18/2021	L	48	107	35	80	43.8	13	36	36.1	24	30	80.0	8	34	42	18	14	8	6	21	-7
LAC	LAC @ OKC	12/18/2021	L	48	103	37	83	44.6	16	39	41.0	13	19	68.4	7	32	39	26	13	11	3	16	-1
BKN	BKN vs. ORL	12/18/2021	L	48	93	39	102	38.2	9	46	19.6	6	8	75.0	16	35	51	24	16	8	8	14	-7
WAS	WAS @ UTA	12/18/2021	W	48	109	42	94	44.7	9	31	29.0	16	20	80.0	11	36	47	27	9	7	4	23	6
MIL	MIL vs. CLE	12/18/2021	L	48	90	35	89	39.3	12	38	31.6	8	11	72.7	13	31	44	18	17	8	4	15	-29
BOS	BOS vs. NYK	12/18/2021	W	48	114	42	89	47.2	17	45	37.8	13	17	76.5	12	33	45	23	13	6	3	20	7
ORL	ORL @ BKN	12/18/2021	W	48	100	39	94	41.5	10	31	32.3	12	13	92.3	12	38	50	20	16	6	4	14	7
TOR	TOR vs. GSW	12/18/2021	W	48	119	45	90	50.0	14	38	36.8	15	23	65.2	12	29	41	26	11	13	3	21	19
DET	DET vs. HOU	12/18/2021	L	48	107	43	93	46.2	10	36	27.8	11	16	68.8	15	27	42	29	21	8	6	24	-9
OKC	OKC vs. LAC	12/18/2021	W	48	104	43	92	46.7	12	31	38.7	6	10	60.0	17	38	55	23	16	4	4	18	1
UTA	UTA vs. WAS	12/18/2021	L	48	103	35	81	43.2	14	44	31.8	19	30	63.3	8	38	46	17	16	5	6	23	-6
