TEAM	MATCH UP	GAME DATE	W/L	MIN	EFG%	FTR	TOV%	OREB%	OPPEFG%	OPPFTR	OPPTOV%	OPPOREB%
BOS	BOS vs. PHX	12/31/2021	W	48	60.2	0.313	18.4	38.5	46.5	0.160	10.1	33.3
OKC	OKC vs. NYK	12/31/2021	W	48	51.7	0.080	10.6	15.4	42.0	0.272	10.6	16.4
SAS	SAS @ MEM	12/31/2021	L	48	50.0	0.267	10.9	23.2	52.9	0.157	10.1	33.9
LAC	LAC @ TOR	12/31/2021	L	48	58.3	0.244	13.7	12.2	47.4	0.344	7.1	40.7
NYK	NYK @ OKC	12/31/2021	L	48	42.0	0.272	10.6	16.4	51.7	0.080	10.6	15.4
SAC	SAC vs. DAL	12/31/2021	L	48	47.3	0.132	10.5	24.5	57.4	0.272	13.8	28.2
PHX	PHX @ BOS	12/31/2021	L	48	46.5	0.160	10.1	33.3	60.2	0.313	18.4	38.5
HOU	HOU vs. MIA	12/31/2021	L	48	51.6	0.183	17.6	32.7	54.7	0.360	13.6	27.7
UTA	UTA vs. MIN	12/31/2021	W	48	54.5	0.526	18.0	33.3	50.5	0.237	10.0	24.1
DAL	DAL @ SAC	12/31/2021	W	48	57.4	0.272	13.8	28.2	47.3	0.132	10.5	24.5
POR	POR @ LAL	12/31/2021	L	48	41.2	0.265	9.0	36.8	66.5	0.353	7.0	15.0
LAL	LAL vs. POR	12/31/2021	W	48	66.5	0.353	7.0	15.0	41.2	0.265	9.0	36.8
MIN	MIN @ UTA	12/31/2021	L	48	50.5	0.237	10.0	24.1	54.5	0.526	18.0	33.3
MIA	MIA @ HOU	12/31/2021	W	48	54.7	0.360	13.6	27.7	51.6	0.183	17.6	32.7
ATL	ATL @ CLE	12/31/2021	W	48	52.6	0.216	2.1	25.9	61.9	0.286	9.5	25.0
ORL	ORL vs. MIL	12/30/2021	L	48	55.7	0.310	9.7	19.1	56.6	0.396	12.7	41.3
MIL	MIL @ ORL	12/30/2021	W	48	56.6	0.396	12.7	41.3	55.7	0.310	9.7	19.1
WAS	WAS vs. CLE	12/30/2021	W	48	55.0	0.189	8.4	25.0	47.0	0.277	13.7	24.5
BKN	BKN vs. PHI	12/30/2021	L	48	50.0	0.333	19.1	32.6	48.5	0.200	8.4	34.9
PHI	PHI @ BKN	12/30/2021	W	48	48.5	0.200	8.4	34.9	50.0	0.333	19.1	32.6
CLE	CLE @ WAS	12/30/2021	L	48	47.0	0.277	13.7	24.5	55.0	0.189	8.4	25.0
POR	POR vs. UTA	12/29/2021	L	48	50.0	0.273	11.3	29.6	57.5	0.368	11.5	30.6
IND	IND vs. CHA	12/29/2021	L	48	51.7	0.337	17.1	27.3	57.1	0.376	13.5	21.3
OKC	OKC @ PHX	12/29/2021	L	48	43.2	0.167	12.1	34.5	52.8	0.315	15.3	38.0
CHI	CHI vs. ATL	12/29/2021	W	48	67.9	0.262	14.6	20.6	53.8	0.283	10.5	28.8
DET	DET vs. NYK	12/29/2021	L	48	44.4	0.210	17.7	21.2	43.2	0.333	17.7	25.5
PHX	PHX vs. OKC	12/29/2021	W	48	52.8	0.315	15.3	38.0	43.2	0.167	12.1	34.5
DAL	DAL @ SAC	12/29/2021	L	48	52.5	0.160	14.4	26.7	54.7	0.200	16.7	20.0
NYK	NYK @ DET	12/29/2021	W	48	43.2	0.333	17.7	25.5	44.4	0.210	17.7	21.2
BOS	BOS vs. LAC	12/29/2021	L	48	36.6	0.109	9.1	38.8	47.5	0.210	18.0	38.8
LAC	LAC @ BOS	12/29/2021	W	48	47.5	0.210	18.0	38.8	36.6	0.109	9.1	38.8
LAL	LAL @ MEM	12/29/2021	L	48	54.1	0.093	18.8	29.2	47.1	0.341	13.7	30.2
MEM	MEM vs. LAL	12/29/2021	W	48	47.1	0.341	13.7	30.2	54.1	0.093	18.8	29.2
ATL	ATL @ CHI	12/29/2021	L	48	53.8	0.283	10.5	28.8	67.9	0.262	14.6	20.6
UTA	UTA @ POR	12/29/2021	W	48	57.5	0.368	11.5	30.6	50.0	0.273	11.3	29.6
CHA	CHA @ IND	12/29/2021	W	48	57.1	0.376	13.5	21.3	51.7	0.337	17.1	27.3
SAC	SAC vs. DAL	12/29/2021	W	48	54.7	0.200	16.7	20.0	52.5	0.160	14.4	26.7
NOP	NOP vs. CLE	12/28/2021	W	48	55.0	0.325	13.7	25.5	50.0	0.216	8.4	22.6
DEN	DEN @ GSW	12/28/2021	W	48	45.8	0.241	17.2	30.2	48.6	0.431	18.1	24.5
PHI	PHI @ TOR	12/28/2021	W	48	53.2	0.494	8.5	20.0	52.3	0.253	10.5	30.0
OKC	OKC @ SAC	12/28/2021	L	48	45.0	0.400	8.6	17.2	51.1	0.284	9.4	25.0
LAL	LAL @ HOU	12/28/2021	W	48	59.8	0.315	11.8	37.5	62.7	0.301	13.9	19.0
ORL	ORL vs. MIL	12/28/2021	L	48	53.0	0.313	13.0	20.0	65.3	0.259	12.9	22.0
GSW	GSW vs. DEN	12/28/2021	L	48	48.6	0.431	18.1	24.5	45.8	0.241	17.2	30.2
TOR	TOR vs. PHI	12/28/2021	L	48	52.3	0.253	10.5	30.0	53.2	0.494	8.5	20.0
MIN	MIN vs. NYK	12/28/2021	L	48	44.1	0.235	11.8	26.8	50.0	0.178	17.4	37.3
WAS	WAS @ MIA	12/28/2021	L	48	59.4	0.165	18.9	33.3	53.3	0.250	8.5	30.2
MIL	MIL @ ORL	12/28/2021	W	48	65.3	0.259	12.9	22.0	53.0	0.313	13.0	20.0
CLE	CLE @ NOP	12/28/2021	L	48	50.0	0.216	8.4	22.6	55.0	0.325	13.7	25.5
SAC	SAC vs. OKC	12/28/2021	W	48	51.1	0.284	9.4	25.0	45.0	0.400	8.6	17.2
NYK	NYK @ MIN	12/28/2021	W	48	50.0	0.178	17.4	37.3	44.1	0.235	11.8	26.8
MIA	MIA vs. WAS	12/28/2021	W	48	53.3	0.250	8.5	30.2	59.4	0.165	18.9	33.3
HOU	HOU vs. LAL	12/28/2021	L	48	62.7	0.301	13.9	19.0	59.8	0.315	11.8	37.5
PHX	PHX vs. MEM	12/27/2021	L	48	51.7	0.256	11.2	26.5	57.4	0.193	19.2	39.1
HOU	HOU @ CHA	12/27/2021	L	48	50.0	0.207	20.4	26.9	63.6	0.159	15.4	19.0
BOS	BOS @ MIN	12/27/2021	L	48	46.1	0.315	14.0	29.5	52.2	0.211	14.0	26.4
CHI	CHI @ ATL	12/27/2021	W	48	63.8	0.149	10.2	24.4	53.4	0.292	10.2	28.0
DAL	DAL @ POR	12/27/2021	W	48	64.3	0.393	13.4	36.6	50.0	0.512	11.2	29.4
ATL	ATL vs. CHI	12/27/2021	L	48	53.4	0.292	10.2	28.0	63.8	0.149	10.2	24.4
MIN	MIN vs. BOS	12/27/2021	W	48	52.2	0.211	14.0	26.4	46.1	0.315	14.0	29.5
SAS	SAS vs. UTA	12/27/2021	L	48	50.0	0.090	9.4	17.2	50.6	0.349	14.2	24.0
POR	POR vs. DAL	12/27/2021	L	48	50.0	0.512	11.2	29.4	64.3	0.393	13.4	36.6
UTA	UTA @ SAS	12/27/2021	W	48	50.6	0.349	14.2	24.0	50.0	0.090	9.4	17.2
MEM	MEM @ PHX	12/27/2021	W	48	57.4	0.193	19.2	39.1	51.7	0.256	11.2	26.5
LAC	LAC vs. BKN	12/27/2021	L	48	45.4	0.278	12.1	33.3	64.2	0.182	15.0	27.5
BKN	BKN @ LAC	12/27/2021	W	48	64.2	0.182	15.0	27.5	45.4	0.278	12.1	33.3
CHA	CHA vs. HOU	12/27/2021	W	48	63.6	0.159	15.4	19.0	50.0	0.207	20.4	26.9
MEM	MEM @ SAC	12/26/2021	W	48	51.5	0.300	11.9	44.6	48.1	0.333	18.0	25.0
SAS	SAS vs. DET	12/26/2021	W	48	63.2	0.407	17.1	36.4	42.9	0.347	12.7	29.2
IND	IND @ CHI	12/26/2021	L	48	47.9	0.223	9.3	28.1	63.8	0.289	15.0	13.9
CLE	CLE vs. TOR	12/26/2021	W	48	63.2	0.113	13.8	34.0	46.6	0.258	19.3	23.2
TOR	TOR @ CLE	12/26/2021	L	48	46.6	0.258	19.3	23.2	63.2	0.113	13.8	34.0
WAS	WAS vs. PHI	12/26/2021	L	48	43.3	0.311	8.4	28.3	57.0	0.256	13.7	29.5
NOP	NOP @ OKC	12/26/2021	L	48	46.8	0.298	10.5	22.8	55.2	0.360	11.4	18.0
CHI	CHI vs. IND	12/26/2021	W	48	63.8	0.289	15.0	13.9	47.9	0.223	9.3	28.1
LAC	LAC vs. DEN	12/26/2021	L	48	51.2	0.209	14.1	22.4	48.9	0.116	14.3	28.1
PHI	PHI @ WAS	12/26/2021	W	48	57.0	0.256	13.7	29.5	43.3	0.311	8.4	28.3
ORL	ORL @ MIA	12/26/2021	L	48	50.0	0.236	20.9	25.6	46.1	0.202	15.6	36.8
MIA	MIA vs. ORL	12/26/2021	W	48	46.1	0.202	15.6	36.8	50.0	0.236	20.9	25.6
OKC	OKC vs. NOP	12/26/2021	W	48	55.2	0.360	11.4	18.0	46.8	0.298	10.5	22.8
DEN	DEN @ LAC	12/26/2021	W	48	48.9	0.116	14.3	28.1	51.2	0.209	14.1	22.4
SAC	SAC vs. MEM	12/26/2021	L	48	48.1	0.333	18.0	25.0	51.5	0.300	11.9	44.6
DET	DET @ SAS	12/26/2021	L	48	42.9	0.347	12.7	29.2	63.2	0.407	17.1	36.4
PHX	PHX vs. GSW	12/25/2021	L	48	54.8	0.193	13.8	25.6	57.6	0.247	11.7	31.1
LAL	LAL vs. BKN	12/25/2021	L	48	46.9	0.292	13.7	37.9	56.2	0.303	11.8	22.4
MIL	MIL vs. BOS	12/25/2021	W	48	53.8	0.297	13.0	32.7	52.2	0.270	14.1	28.8
NYK	NYK vs. ATL	12/25/2021	W	48	56.5	0.141	10.6	21.6	45.4	0.161	13.0	21.8
BOS	BOS @ MIL	12/25/2021	L	48	52.2	0.270	14.1	28.8	53.8	0.297	13.0	32.7
DAL	DAL @ UTA	12/25/2021	L	48	48.3	0.393	13.5	26.9	51.1	0.411	13.5	32.1
UTA	UTA vs. DAL	12/25/2021	W	48	51.1	0.411	13.5	32.1	48.3	0.393	13.5	26.9
GSW	GSW @ PHX	12/25/2021	W	48	57.6	0.247	11.7	31.1	54.8	0.193	13.8	25.6
ATL	ATL @ NYK	12/25/2021	L	48	45.4	0.161	13.0	21.8	56.5	0.141	10.6	21.6
BKN	BKN @ LAL	12/25/2021	W	48	56.2	0.303	11.8	22.4	46.9	0.292	13.7	37.9
MIN	MIN @ UTA	12/23/2021	L	48	53.0	0.119	14.0	33.9	62.2	0.244	14.7	35.6
HOU	HOU @ IND	12/23/2021	L	48	53.1	0.325	14.1	29.2	59.7	0.216	16.3	47.7
MEM	MEM @ GSW	12/23/2021	L	48	46.7	0.267	13.5	33.3	60.4	0.220	19.6	31.8
SAS	SAS @ LAL	12/23/2021	W	48	57.9	0.347	5.7	23.5	49.5	0.319	13.3	31.0
PHI	PHI vs. ATL	12/23/2021	L	48	45.0	0.325	8.8	22.9	49.4	0.232	17.6	34.8
DET	DET @ MIA	12/23/2021	L	48	56.3	0.313	16.0	15.2	55.7	0.216	12.9	19.1
ATL	ATL @ PHI	12/23/2021	W	48	49.4	0.232	17.6	34.8	45.0	0.325	8.8	22.9
UTA	UTA vs. MIN	12/23/2021	W	48	62.2	0.244	14.7	35.6	53.0	0.119	14.0	33.9
ORL	ORL vs. NOP	12/23/2021	L	48	48.3	0.239	9.5	25.5	50.6	0.302	10.4	27.5
IND	IND vs. HOU	12/23/2021	W	48	59.7	0.216	16.3	47.7	53.1	0.325	14.1	29.2
LAL	LAL vs. SAS	12/23/2021	L	48	49.5	0.319	13.3	31.0	57.9	0.347	5.7	23.5
DAL	DAL vs. MIL	12/23/2021	L	48	47.7	0.198	11.5	18.5	51.2	0.268	12.5	18.8
GSW	GSW vs. MEM	12/23/2021	W	48	60.4	0.220	19.6	31.8	46.7	0.267	13.5	33.3
OKC	OKC @ PHX	12/23/2021	L	48	44.3	0.219	12.9	29.5	56.5	0.140	13.9	24.5
NOP	NOP @ ORL	12/23/2021	W	48	50.6	0.302	10.4	27.5	48.3	0.239	9.5	25.5
MIA	MIA vs. DET	12/23/2021	W	48	55.7	0.216	12.9	19.1	56.3	0.313	16.0	15.2
PHX	PHX vs. OKC	12/23/2021	W	48	56.5	0.140	13.9	24.5	44.3	0.219	12.9	29.5
MIL	MIL @ DAL	12/23/2021	W	48	51.2	0.268	12.5	18.8	47.7	0.198	11.5	18.5
WAS	WAS @ NYK	12/23/2021	W	48	66.7	0.427	11.6	15.4	52.2	0.247	7.3	30.8
CHA	CHA @ DEN	12/23/2021	W	48	50.0	0.255	10.8	24.1	49.0	0.177	14.7	32.8
DEN	DEN vs. CHA	12/23/2021	L	48	49.0	0.177	14.7	32.8	50.0	0.255	10.8	24.1
NYK	NYK vs. WAS	12/23/2021	L	48	52.2	0.247	7.3	30.8	66.7	0.427	11.6	15.4
CLE	CLE @ BOS	12/22/2021	L	48	44.0	0.261	15.8	33.3	52.7	0.196	13.0	26.9
BOS	BOS vs. CLE	12/22/2021	W	48	52.7	0.196	13.0	26.9	44.0	0.261	15.8	33.3
ATL	ATL vs. ORL	12/22/2021	L	48	47.5	0.363	14.7	30.0	51.2	0.271	10.6	22.4
SAC	SAC vs. LAC	12/22/2021	L	48	47.1	0.141	19.8	24.5	55.5	0.195	13.5	19.5
ORL	ORL @ ATL	12/22/2021	W	48	51.2	0.271	10.6	22.4	47.5	0.363	14.7	30.0
HOU	HOU @ MIL	12/22/2021	L	48	49.4	0.360	14.9	30.4	51.9	0.204	6.9	32.2
MIL	MIL vs. HOU	12/22/2021	W	48	51.9	0.204	6.9	32.2	49.4	0.360	14.9	30.4
DEN	DEN @ OKC	12/22/2021	L	48	47.0	0.310	11.1	14.3	48.9	0.202	11.0	30.2
OKC	OKC vs. DEN	12/22/2021	W	48	48.9	0.202	11.0	30.2	47.0	0.310	11.1	14.3
LAC	LAC @ SAC	12/22/2021	W	48	55.5	0.195	13.5	19.5	47.1	0.141	19.8	24.5
PHX	PHX @ LAL	12/21/2021	W	48	50.5	0.161	15.2	18.9	43.1	0.264	14.3	16.1
LAL	LAL vs. PHX	12/21/2021	L	48	43.1	0.264	14.3	16.1	50.5	0.161	15.2	18.9
NOP	NOP vs. POR	12/21/2021	W	48	60.0	0.225	17.6	30.8	53.2	0.244	11.8	19.1
NYK	NYK vs. DET	12/21/2021	W	48	50.6	0.211	13.3	28.3	40.4	0.202	14.1	32.3
MIA	MIA vs. IND	12/21/2021	W	48	61.1	0.116	11.5	36.0	42.0	0.322	12.6	30.4
IND	IND @ MIA	12/21/2021	L	48	42.0	0.322	12.6	30.4	61.1	0.116	11.5	36.0
POR	POR @ NOP	12/21/2021	L	48	53.2	0.244	11.8	19.1	60.0	0.225	17.6	30.8
MIN	MIN @ DAL	12/21/2021	L	48	53.8	0.253	18.1	20.0	55.2	0.267	11.6	31.9
DAL	DAL vs. MIN	12/21/2021	W	48	55.2	0.267	11.6	31.9	53.8	0.253	18.1	20.0
DET	DET @ NYK	12/21/2021	L	48	40.4	0.202	14.1	32.3	50.6	0.211	13.3	28.3
PHI	PHI @ BOS	12/20/2021	W	48	56.9	0.431	17.2	11.1	50.6	0.305	17.8	30.4
CHA	CHA @ UTA	12/20/2021	L	48	46.0	0.089	12.3	22.6	43.8	0.385	16.0	36.8
CHI	CHI vs. HOU	12/20/2021	W	48	62.5	0.273	8.5	33.3	64.1	0.308	14.9	27.0
GSW	GSW vs. SAC	12/20/2021	W	48	60.8	0.102	16.3	25.6	52.4	0.193	21.4	30.6
MEM	MEM vs. OKC	12/20/2021	L	48	44.1	0.129	12.0	32.8	49.4	0.333	14.0	26.9
HOU	HOU @ CHI	12/20/2021	L	48	64.1	0.308	14.9	27.0	62.5	0.273	8.5	33.3
OKC	OKC @ MEM	12/20/2021	W	48	49.4	0.333	14.0	26.9	44.1	0.129	12.0	32.8
SAS	SAS @ LAC	12/20/2021	W	48	49.1	0.053	11.8	44.6	44.3	0.230	14.9	20.0
LAC	LAC vs. SAS	12/20/2021	L	48	44.3	0.230	14.9	20.0	49.1	0.053	11.8	44.6
SAC	SAC @ GSW	12/20/2021	L	48	52.4	0.193	21.4	30.6	60.8	0.102	16.3	25.6
UTA	UTA vs. CHA	12/20/2021	W	48	43.8	0.385	16.0	36.8	46.0	0.089	12.3	22.6
BOS	BOS vs. PHI	12/20/2021	L	48	50.6	0.305	17.8	30.4	56.9	0.431	17.2	11.1
SAC	SAC vs. SAS	12/19/2021	W	48	58.2	0.198	12.4	32.6	56.0	0.143	14.4	34.8
MIA	MIA @ DET	12/19/2021	L	48	46.6	0.446	13.7	17.6	52.0	0.400	15.8	20.5
PHX	PHX vs. CHA	12/19/2021	W	48	67.4	0.137	16.8	28.6	41.0	0.280	8.3	26.9
POR	POR @ MEM	12/19/2021	W	48	54.7	0.378	26.6	37.5	43.4	0.275	8.3	28.8
MIN	MIN vs. DAL	12/19/2021	W	48	56.5	0.403	9.6	19.6	51.2	0.268	13.0	23.4
MEM	MEM vs. POR	12/19/2021	L	48	43.4	0.275	8.3	28.8	54.7	0.378	26.6	37.5
DAL	DAL @ MIN	12/19/2021	L	48	51.2	0.268	13.0	23.4	56.5	0.403	9.6	19.6
SAS	SAS @ SAC	12/19/2021	L	48	56.0	0.143	14.4	34.8	58.2	0.198	12.4	32.6
LAL	LAL @ CHI	12/19/2021	L	48	58.5	0.268	19.8	28.6	48.4	0.333	9.9	29.3
DET	DET vs. MIA	12/19/2021	W	48	52.0	0.400	15.8	20.5	46.6	0.446	13.7	17.6
CHA	CHA @ PHX	12/19/2021	L	48	41.0	0.280	8.3	26.9	67.4	0.137	16.8	28.6
CHI	CHI vs. LAL	12/19/2021	W	48	48.4	0.333	9.9	29.3	58.5	0.268	19.8	28.6
HOU	HOU @ DET	12/18/2021	W	48	57.0	0.183	18.1	34.0	51.6	0.172	20.2	34.0
BOS	BOS vs. NYK	12/18/2021	W	48	56.7	0.191	13.4	27.1	51.9	0.375	14.3	21.3
TOR	TOR vs. GSW	12/18/2021	W	48	57.8	0.256	11.6	29.4	53.8	0.266	20.8	34.0
MIL	MIL vs. CLE	12/18/2021	L	48	46.1	0.124	17.3	27.3	58.9	0.156	15.3	30.4
DET	DET vs. HOU	12/18/2021	L	48	51.6	0.172	20.2	34.0	57.0	0.183	18.1	34.0
CLE	CLE @ MIL	12/18/2021	W	48	58.9	0.156	15.3	30.4	46.1	0.124	17.3	27.3
BKN	BKN vs. ORL	12/18/2021	L	48	42.6	0.078	15.8	34.9	46.8	0.138	15.7	32.7
OKC	OKC vs. LAC	12/18/2021	W	48	53.3	0.109	16.7	35.3	54.2	0.229	13.5	20.4
GSW	GSW @ TOR	12/18/2021	L	48	53.8	0.266	20.8	34.0	57.8	0.256	11.6	29.4
UTA	UTA vs. WAS	12/18/2021	L	48	51.9	0.370	15.8	22.0	49.5	0.213	9.0	22.2
NYK	NYK @ BOS	12/18/2021	L	48	51.9	0.375	14.3	21.3	56.7	0.191	13.4	27.1
LAC	LAC @ OKC	12/18/2021	L	48	54.2	0.229	13.5	20.4	53.3	0.109	16.7	35.3
WAS	WAS @ UTA	12/18/2021	W	48	49.5	0.213	9.0	22.2	51.9	0.370	15.8	22.0
ORL	ORL @ BKN	12/18/2021	W	48	46.8	0.138	15.7	32.7	42.6	0.078	15.8	34.9
BOS	BOS vs. GSW	12/17/2021	L	48	53.0	0.354	16.3	32.7	52.2	0.233	14.6	32.1
ATL	ATL vs. DEN	12/17/2021	L	48	50.6	0.386	14.2	28.0	68.0	0.209	15.9	18.9
SAS	SAS @ UTA	12/17/2021	W	48	57.5	0.180	6.7	25.0	56.5	0.280	12.5	32.7
GSW	GSW @ BOS	12/17/2021	W	48	52.2	0.233	14.6	32.1	53.0	0.354	16.3	32.7
MIA	MIA @ ORL	12/17/2021	W	48	61.6	0.232	18.5	34.1	54.5	0.112	11.7	28.3
POR	POR vs. CHA	12/17/2021	W	48	64.1	0.212	17.0	33.3	54.9	0.196	13.1	30.0
MIN	MIN vs. LAL	12/17/2021	W	48	48.0	0.245	14.0	29.5	46.2	0.372	16.8	7.5
LAL	LAL @ MIN	12/17/2021	L	48	46.2	0.372	16.8	7.5	48.0	0.245	14.0	29.5
SAC	SAC vs. MEM	12/17/2021	L	48	48.3	0.295	17.0	27.3	53.1	0.278	12.4	32.7
ORL	ORL vs. MIA	12/17/2021	L	48	54.5	0.112	11.7	28.3	61.6	0.232	18.5	34.1
UTA	UTA vs. SAS	12/17/2021	L	48	56.5	0.280	12.5	32.7	57.5	0.180	6.7	25.0
MEM	MEM @ SAC	12/17/2021	W	48	53.1	0.278	12.4	32.7	48.3	0.295	17.0	27.3
CHA	CHA @ POR	12/17/2021	L	48	54.9	0.196	13.1	30.0	64.1	0.212	17.0	33.3
MIL	MIL @ NOP	12/17/2021	L	53	50.0	0.096	12.1	23.3	54.5	0.337	18.3	30.8
NOP	NOP vs. MIL	12/17/2021	W	53	54.5	0.337	18.3	30.8	50.0	0.096	12.1	23.3
DEN	DEN @ ATL	12/17/2021	W	48	68.0	0.209	15.9	18.9	50.6	0.386	14.2	28.0
PHX	PHX vs. WAS	12/16/2021	W	48	58.9	0.329	20.0	26.3	52.4	0.232	15.8	15.6
HOU	HOU vs. NYK	12/16/2021	L	48	58.1	0.441	21.1	30.6	57.2	0.301	13.3	39.1
BKN	BKN vs. PHI	12/16/2021	W	48	55.6	0.180	15.3	23.9	49.4	0.225	9.0	17.6
WAS	WAS @ PHX	12/16/2021	L	48	52.4	0.232	15.8	15.6	58.9	0.329	20.0	26.3
PHI	PHI @ BKN	12/16/2021	L	48	49.4	0.225	9.0	17.6	55.6	0.180	15.3	23.9
NYK	NYK @ HOU	12/16/2021	W	48	57.2	0.301	13.3	39.1	58.1	0.441	21.1	30.6
DET	DET @ IND	12/16/2021	L	48	53.7	0.370	12.0	16.3	53.3	0.308	8.9	27.7
IND	IND vs. DET	12/16/2021	W	48	53.3	0.308	8.9	27.7	53.7	0.370	12.0	16.3
MIL	MIL vs. IND	12/15/2021	W	48	56.7	0.167	9.5	22.9	53.6	0.133	19.6	31.1
HOU	HOU @ CLE	12/15/2021	L	48	41.7	0.449	17.7	29.6	67.5	0.300	17.5	22.0
WAS	WAS @ SAC	12/15/2021	L	48	50.0	0.236	11.0	25.0	59.8	0.354	11.2	17.1
LAC	LAC @ UTA	12/15/2021	L	48	52.9	0.235	16.0	21.3	61.2	0.225	9.9	20.0
PHI	PHI vs. MIA	12/15/2021	L	48	51.9	0.215	12.1	15.2	56.4	0.218	19.8	31.1
ATL	ATL @ ORL	12/15/2021	W	48	55.9	0.188	13.0	16.3	44.4	0.233	17.2	31.6
POR	POR vs. MEM	12/15/2021	L	48	47.0	0.341	14.9	17.3	54.3	0.366	15.8	27.1
DEN	DEN vs. MIN	12/15/2021	L	48	53.6	0.274	18.0	29.2	64.2	0.182	12.0	20.0
SAS	SAS vs. CHA	12/15/2021	L	48	50.0	0.278	8.2	23.5	69.8	0.186	13.3	27.0
IND	IND @ MIL	12/15/2021	L	48	53.6	0.133	19.6	31.1	56.7	0.167	9.5	22.9
ORL	ORL vs. ATL	12/15/2021	L	48	44.4	0.233	17.2	31.6	55.9	0.188	13.0	16.3
MEM	MEM @ POR	12/15/2021	W	48	54.3	0.366	15.8	27.1	47.0	0.341	14.9	17.3
UTA	UTA vs. LAC	12/15/2021	W	48	61.2	0.225	9.9	20.0	52.9	0.235	16.0	21.3
CHA	CHA @ SAS	12/15/2021	W	48	69.8	0.186	13.3	27.0	50.0	0.278	8.2	23.5
MIA	MIA @ PHI	12/15/2021	W	48	56.4	0.218	19.8	31.1	51.9	0.215	12.1	15.2
MIN	MIN @ DEN	12/15/2021	W	48	64.2	0.182	12.0	20.0	53.6	0.274	18.0	29.2
SAC	SAC vs. WAS	12/15/2021	W	48	59.8	0.354	11.2	17.1	50.0	0.236	11.0	25.0
DAL	DAL vs. LAL	12/15/2021	L	53	45.9	0.173	10.3	24.6	51.7	0.200	13.5	13.0
OKC	OKC vs. NOP	12/15/2021	L	48	48.9	0.204	8.2	22.2	55.6	0.450	12.1	23.9
CLE	CLE vs. HOU	12/15/2021	W	48	67.5	0.300	17.5	22.0	41.7	0.449	17.7	29.6
NOP	NOP @ OKC	12/15/2021	W	48	55.6	0.450	12.1	23.9	48.9	0.204	8.2	22.2
LAL	LAL @ DAL	12/15/2021	W	53	51.7	0.200	13.5	13.0	45.9	0.173	10.3	24.6
PHX	PHX @ POR	12/14/2021	W	53	53.2	0.161	13.3	24.5	48.4	0.229	13.3	25.4
GSW	GSW @ NYK	12/14/2021	W	48	55.2	0.351	13.0	24.4	45.8	0.265	9.8	20.0
TOR	TOR @ BKN	12/14/2021	L	53	54.3	0.181	10.9	30.0	55.3	0.223	16.7	42.9
POR	POR vs. PHX	12/14/2021	L	53	48.4	0.229	13.3	25.4	53.2	0.161	13.3	24.5
BKN	BKN vs. TOR	12/14/2021	W	53	55.3	0.223	16.7	42.9	54.3	0.181	10.9	30.0
NYK	NYK vs. GSW	12/14/2021	L	48	45.8	0.265	9.8	20.0	55.2	0.351	13.0	24.4
PHX	PHX @ LAC	12/13/2021	L	48	41.1	0.198	11.3	34.4	60.9	0.295	17.5	26.3
DEN	DEN vs. WAS	12/13/2021	W	48	53.2	0.418	12.9	15.9	52.2	0.233	10.0	15.1
HOU	HOU @ ATL	12/13/2021	W	48	57.8	0.281	10.5	32.7	58.2	0.365	11.7	20.5
LAC	LAC vs. PHX	12/13/2021	W	48	60.9	0.295	17.5	26.3	41.1	0.198	11.3	34.4
BOS	BOS vs. MIL	12/13/2021	W	48	61.6	0.151	13.4	20.5	50.6	0.167	14.3	26.9
CLE	CLE vs. MIA	12/13/2021	W	48	54.3	0.222	14.9	26.7	52.4	0.106	17.4	26.5
TOR	TOR vs. SAC	12/13/2021	W	48	59.7	0.102	10.0	27.1	46.3	0.223	16.8	34.4
MEM	MEM vs. PHI	12/13/2021	W	48	60.7	0.258	11.1	26.1	47.0	0.229	15.0	17.6
WAS	WAS @ DEN	12/13/2021	L	48	52.2	0.233	10.0	15.1	53.2	0.418	12.9	15.9
IND	IND vs. GSW	12/13/2021	L	48	44.3	0.356	10.4	28.6	54.8	0.167	18.9	28.9
MIL	MIL @ BOS	12/13/2021	L	48	50.6	0.167	14.3	26.9	61.6	0.151	13.4	20.5
ATL	ATL vs. HOU	12/13/2021	L	48	58.2	0.365	11.7	20.5	57.8	0.281	10.5	32.7
DAL	DAL vs. CHA	12/13/2021	W	48	63.3	0.205	15.3	47.5	47.1	0.279	11.8	38.3
PHI	PHI @ MEM	12/13/2021	L	48	47.0	0.229	15.0	17.6	60.7	0.258	11.1	26.1
CHA	CHA @ DAL	12/13/2021	L	48	47.1	0.279	11.8	38.3	63.3	0.205	15.3	47.5
MIA	MIA @ CLE	12/13/2021	L	48	52.4	0.106	17.4	26.5	54.3	0.222	14.9	26.7
SAC	SAC @ TOR	12/13/2021	L	48	46.3	0.223	16.8	34.4	59.7	0.102	10.0	27.1
GSW	GSW @ IND	12/13/2021	W	48	54.8	0.167	18.9	28.9	44.3	0.356	10.4	28.6
SAS	SAS vs. NOP	12/12/2021	W	48	53.3	0.220	14.4	34.7	46.8	0.160	14.3	31.0
OKC	OKC vs. DAL	12/12/2021	L	48	45.6	0.200	11.6	11.5	47.2	0.256	9.6	26.8
ORL	ORL @ LAL	12/12/2021	L	48	44.9	0.216	19.6	33.9	56.5	0.202	14.3	22.2
POR	POR vs. MIN	12/12/2021	L	48	56.8	0.346	18.8	31.3	52.9	0.376	17.0	33.3
